,State_Territory,CoC Number,CoC Name,Count Types,Year,Overall Homeless,Overall Homeless Individuals,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24
10,Arkansas,AR-500,Little Rock/Central Arkansas CoC,Sheltered-Only Count,2017,1006.0,892.0,226.0,76.0,150.0,337.0,668.0,1.0,0.0,979.0,27.0,411.0,537.0,2.0,12.0,0.0,44.0,92.0,70.0,844.0,284.0,0.0,0.0,442.0,14.0,200.0,225.0,1.0,7.0,0.0,23.0,65.0,34.0,357.0,165.0,384.0,1.0,0.0,537.0,13.0,211.0,312.0,1.0,5.0,0.0,21.0,27.0,36.0,487.0
11,Arkansas,AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered-Only Count,2017,330.0,235.0,66.0,29.0,37.0,136.0,193.0,1.0,0.0,312.0,18.0,261.0,25.0,4.0,4.0,6.0,30.0,57.0,19.0,254.0,123.0,1.0,0.0,222.0,13.0,181.0,22.0,3.0,2.0,6.0,21.0,57.0,15.0,163.0,25.0,70.0,0.0,0.0,90.0,5.0,80.0,3.0,1.0,2.0,0.0,9.0,0.0,4.0,91.0
12,Arkansas,AR-503,Arkansas Balance of State CoC,Sheltered-Only Count,2017,875.0,761.0,110.0,27.0,83.0,379.0,495.0,1.0,0.0,860.0,15.0,624.0,238.0,3.0,1.0,0.0,9.0,63.0,103.0,709.0,208.0,0.0,0.0,402.0,12.0,301.0,108.0,0.0,1.0,0.0,4.0,51.0,28.0,335.0,173.0,287.0,1.0,0.0,458.0,3.0,323.0,130.0,3.0,0.0,0.0,5.0,12.0,75.0,374.0
13,Arkansas,AR-505,Southeast Arkansas CoC,Sheltered and Unsheltered Count,2017,88.0,49.0,0.0,0.0,0.0,52.0,36.0,0.0,0.0,87.0,1.0,15.0,72.0,0.0,0.0,0.0,1.0,33.0,7.0,48.0,36.0,0.0,0.0,87.0,1.0,15.0,72.0,0.0,0.0,0.0,1.0,33.0,7.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Arkansas,AR-508,Fort Smith CoC,Sheltered and Unsheltered Count,2017,168.0,131.0,71.0,15.0,56.0,61.0,107.0,0.0,0.0,167.0,1.0,136.0,20.0,0.0,7.0,1.0,4.0,20.0,10.0,138.0,40.0,0.0,0.0,79.0,1.0,59.0,14.0,0.0,3.0,0.0,4.0,17.0,3.0,60.0,21.0,67.0,0.0,0.0,88.0,0.0,77.0,6.0,0.0,4.0,1.0,0.0,3.0,7.0,78.0
15,Arizona,AZ-500,Arizona Balance of State CoC,Sheltered and Unsheltered Count,2017,1768.0,1434.0,388.0,68.0,320.0,675.0,1090.0,3.0,0.0,1451.0,317.0,1223.0,80.0,11.0,280.0,4.0,170.0,220.0,132.0,1416.0,557.0,1.0,0.0,828.0,218.0,719.0,58.0,10.0,204.0,2.0,53.0,187.0,82.0,777.0,187.0,533.0,2.0,0.0,623.0,99.0,504.0,22.0,1.0,76.0,2.0,117.0,33.0,50.0,639.0
16,Arizona,AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,2017,1574.0,1249.0,225.0,169.0,56.0,494.0,1071.0,8.0,1.0,1104.0,470.0,1140.0,193.0,10.0,113.0,14.0,104.0,204.0,165.0,1205.0,770.0,7.0,1.0,801.0,388.0,852.0,170.0,9.0,76.0,11.0,71.0,203.0,121.0,865.0,83.0,301.0,1.0,0.0,303.0,82.0,288.0,23.0,1.0,37.0,3.0,33.0,1.0,44.0,340.0
17,Arizona,AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered and Unsheltered Count,2017,5605.0,3805.0,939.0,309.0,630.0,2162.0,3431.0,11.0,1.0,4321.0,1284.0,3723.0,1338.0,30.0,311.0,28.0,175.0,1183.0,363.0,4059.0,1886.0,5.0,0.0,2549.0,997.0,2093.0,1075.0,25.0,167.0,11.0,175.0,1159.0,230.0,2157.0,507.0,1545.0,6.0,1.0,1772.0,287.0,1630.0,263.0,5.0,144.0,17.0,0.0,24.0,133.0,1902.0
18,California,CA-500,San Jose/Santa Clara City & County CoC,Sheltered-Only Count,2017,7394.0,6319.0,2097.0,302.0,1795.0,2404.0,4973.0,17.0,0.0,4138.0,3256.0,3446.0,1069.0,225.0,973.0,224.0,1457.0,1136.0,2091.0,4167.0,1210.0,4.0,0.0,941.0,1005.0,1304.0,279.0,64.0,124.0,43.0,132.0,472.0,136.0,1338.0,1672.0,3763.0,13.0,0.0,3197.0,2251.0,2142.0,790.0,161.0,849.0,181.0,1325.0,664.0,1955.0,2829.0
19,California,CA-501,San Francisco CoC,Sheltered-Only Count,2017,6858.0,6257.0,2138.0,560.0,1578.0,1742.0,5037.0,78.0,1.0,5267.0,1591.0,2347.0,2353.0,306.0,209.0,125.0,1518.0,448.0,1224.0,5186.0,1537.0,57.0,1.0,1895.0,610.0,733.0,984.0,100.0,42.0,76.0,570.0,347.0,185.0,1973.0,832.0,3500.0,21.0,0.0,3372.0,981.0,1614.0,1369.0,206.0,167.0,49.0,948.0,101.0,1039.0,3213.0
20,California,CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered-Only Count,2017,5629.0,4918.0,1707.0,298.0,1409.0,2295.0,3277.0,47.0,10.0,4677.0,952.0,1710.0,2747.0,130.0,168.0,42.0,832.0,480.0,1005.0,4144.0,931.0,6.0,1.0,1437.0,329.0,470.0,1023.0,49.0,34.0,15.0,175.0,404.0,324.0,1038.0,1467.0,2346.0,41.0,9.0,3240.0,623.0,1240.0,1724.0,81.0,134.0,27.0,657.0,76.0,681.0,3106.0
21,California,CA-503,Sacramento City & County CoC,Sheltered-Only Count,2017,3665.0,3076.0,1126.0,323.0,803.0,1169.0,2435.0,14.0,47.0,3009.0,656.0,1817.0,1124.0,24.0,179.0,31.0,490.0,370.0,242.0,3053.0,918.0,14.0,0.0,1327.0,286.0,747.0,643.0,10.0,48.0,21.0,144.0,363.0,124.0,1126.0,488.0,1517.0,0.0,47.0,1682.0,370.0,1070.0,481.0,14.0,131.0,10.0,346.0,7.0,118.0,1927.0
22,California,CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,2017,2835.0,2509.0,598.0,134.0,464.0,855.0,1968.0,7.0,5.0,2138.0,697.0,1990.0,219.0,29.0,173.0,28.0,396.0,297.0,431.0,2107.0,558.0,4.0,3.0,738.0,250.0,762.0,54.0,11.0,72.0,8.0,81.0,178.0,60.0,750.0,432.0,1410.0,3.0,2.0,1400.0,447.0,1228.0,165.0,18.0,101.0,20.0,315.0,119.0,371.0,1357.0
23,California,CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2017,1607.0,1352.0,331.0,130.0,201.0,556.0,1047.0,3.0,1.0,1315.0,292.0,802.0,535.0,27.0,166.0,22.0,55.0,160.0,78.0,1369.0,412.0,1.0,0.0,566.0,130.0,297.0,293.0,9.0,50.0,6.0,41.0,114.0,39.0,543.0,273.0,635.0,2.0,1.0,749.0,162.0,505.0,242.0,18.0,116.0,16.0,14.0,46.0,39.0,826.0
24,California,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered-Only Count,2017,3364.0,2719.0,902.0,43.0,859.0,1189.0,2168.0,7.0,0.0,1025.0,2339.0,2574.0,351.0,13.0,10.0,6.0,410.0,535.0,498.0,2331.0,470.0,2.0,0.0,429.0,421.0,686.0,92.0,13.0,10.0,6.0,43.0,265.0,57.0,528.0,811.0,1698.0,5.0,0.0,596.0,1918.0,1888.0,259.0,0.0,0.0,0.0,367.0,270.0,441.0,1803.0
25,California,CA-507,Marin County CoC,Sheltered-Only Count,2017,1117.0,917.0,359.0,67.0,292.0,350.0,760.0,6.0,1.0,920.0,197.0,720.0,172.0,19.0,29.0,5.0,172.0,124.0,121.0,872.0,234.0,0.0,1.0,316.0,93.0,287.0,64.0,16.0,11.0,2.0,29.0,92.0,21.0,296.0,176.0,526.0,6.0,0.0,604.0,104.0,433.0,108.0,3.0,18.0,3.0,143.0,32.0,100.0,576.0
26,California,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered-Only Count,2017,2249.0,1846.0,600.0,77.0,523.0,590.0,1655.0,4.0,0.0,1459.0,790.0,1323.0,153.0,5.0,156.0,7.0,605.0,378.0,471.0,1400.0,237.0,3.0,0.0,240.0,210.0,324.0,14.0,1.0,72.0,3.0,36.0,136.0,37.0,277.0,380.0,1418.0,1.0,0.0,1219.0,580.0,999.0,139.0,4.0,84.0,4.0,569.0,242.0,434.0,1123.0
27,California,CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,2017,1238.0,1179.0,97.0,38.0,59.0,411.0,824.0,2.0,1.0,1121.0,117.0,1026.0,34.0,2.0,152.0,8.0,16.0,32.0,47.0,1159.0,94.0,2.0,0.0,132.0,28.0,129.0,4.0,1.0,13.0,3.0,10.0,26.0,23.0,111.0,347.0,730.0,0.0,1.0,989.0,89.0,897.0,30.0,1.0,139.0,5.0,6.0,6.0,24.0,1048.0
28,California,CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,2017,1661.0,1256.0,178.0,60.0,118.0,620.0,1032.0,5.0,4.0,1111.0,550.0,1317.0,174.0,24.0,71.0,18.0,57.0,243.0,127.0,1291.0,486.0,4.0,0.0,527.0,313.0,660.0,109.0,7.0,31.0,9.0,24.0,209.0,56.0,575.0,270.0,546.0,1.0,4.0,584.0,237.0,657.0,65.0,17.0,40.0,9.0,33.0,34.0,71.0,716.0
29,California,CA-511,Stockton/San Joaquin County CoC,Sheltered-Only Count,2017,1542.0,1016.0,254.0,130.0,124.0,605.0,935.0,2.0,0.0,1085.0,457.0,953.0,417.0,40.0,38.0,16.0,78.0,343.0,78.0,1121.0,567.0,2.0,0.0,652.0,323.0,548.0,316.0,25.0,13.0,8.0,65.0,334.0,46.0,595.0,199.0,368.0,0.0,0.0,433.0,134.0,405.0,101.0,15.0,25.0,8.0,13.0,9.0,32.0,526.0
30,California,CA-512,Daly/San Mateo County CoC,Sheltered-Only Count,2017,1253.0,822.0,234.0,31.0,203.0,460.0,788.0,4.0,1.0,865.0,388.0,788.0,175.0,63.0,64.0,113.0,50.0,263.0,49.0,941.0,315.0,1.0,1.0,408.0,208.0,295.0,81.0,63.0,52.0,101.0,24.0,207.0,41.0,368.0,161.0,473.0,3.0,0.0,457.0,180.0,493.0,94.0,0.0,12.0,12.0,26.0,56.0,8.0,573.0
31,California,CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,2017,853.0,732.0,251.0,20.0,231.0,331.0,522.0,0.0,0.0,468.0,385.0,719.0,57.0,9.0,34.0,8.0,26.0,78.0,75.0,700.0,198.0,0.0,0.0,163.0,191.0,298.0,31.0,8.0,6.0,3.0,8.0,70.0,38.0,246.0,175.0,324.0,0.0,0.0,305.0,194.0,421.0,26.0,1.0,28.0,5.0,18.0,8.0,37.0,454.0
32,California,CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,2017,2016.0,1742.0,692.0,49.0,643.0,655.0,1347.0,7.0,7.0,1125.0,891.0,1403.0,257.0,63.0,155.0,19.0,119.0,184.0,134.0,1698.0,253.0,0.0,2.0,232.0,255.0,318.0,97.0,18.0,24.0,7.0,23.0,182.0,56.0,249.0,423.0,1094.0,7.0,5.0,893.0,636.0,1085.0,160.0,45.0,131.0,12.0,96.0,2.0,78.0,1449.0
33,California,CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered-Only Count,2017,979.0,772.0,232.0,67.0,165.0,376.0,590.0,2.0,11.0,859.0,120.0,793.0,52.0,9.0,56.0,5.0,64.0,128.0,71.0,780.0,264.0,2.0,6.0,459.0,62.0,420.0,44.0,5.0,13.0,1.0,38.0,118.0,29.0,374.0,127.0,326.0,0.0,5.0,400.0,58.0,373.0,8.0,4.0,43.0,4.0,26.0,10.0,42.0,406.0
34,California,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,2017,934.0,721.0,341.0,99.0,242.0,336.0,595.0,2.0,1.0,812.0,122.0,709.0,23.0,6.0,107.0,4.0,85.0,131.0,77.0,726.0,315.0,1.0,0.0,449.0,81.0,389.0,21.0,1.0,54.0,2.0,63.0,113.0,45.0,372.0,122.0,280.0,1.0,1.0,363.0,41.0,320.0,2.0,5.0,53.0,2.0,22.0,18.0,32.0,354.0
35,California,CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,2017,315.0,233.0,134.0,81.0,53.0,122.0,192.0,1.0,0.0,210.0,105.0,259.0,17.0,4.0,23.0,4.0,8.0,52.0,29.0,234.0,109.0,1.0,0.0,132.0,67.0,158.0,13.0,2.0,18.0,3.0,5.0,52.0,10.0,137.0,33.0,83.0,0.0,0.0,78.0,38.0,101.0,4.0,2.0,5.0,1.0,3.0,0.0,19.0,97.0
36,California,CA-518,Vallejo/Solano County CoC,Sheltered-Only Count,2017,1232.0,1070.0,434.0,60.0,374.0,364.0,866.0,2.0,0.0,955.0,277.0,571.0,389.0,12.0,31.0,32.0,197.0,113.0,209.0,910.0,186.0,1.0,0.0,257.0,58.0,133.0,129.0,5.0,5.0,10.0,33.0,75.0,45.0,195.0,236.0,680.0,1.0,0.0,698.0,219.0,438.0,260.0,7.0,26.0,22.0,164.0,38.0,164.0,715.0
37,California,CA-519,"Chico, Paradise/Butte County CoC",Sheltered-Only Count,2017,1195.0,997.0,531.0,111.0,420.0,397.0,790.0,5.0,3.0,1061.0,134.0,886.0,33.0,9.0,75.0,17.0,175.0,118.0,75.0,1002.0,260.0,4.0,1.0,376.0,74.0,321.0,19.0,3.0,27.0,2.0,78.0,79.0,35.0,336.0,212.0,530.0,1.0,2.0,685.0,60.0,565.0,14.0,6.0,48.0,15.0,97.0,39.0,40.0,666.0
38,California,CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,2017,454.0,447.0,120.0,1.0,119.0,153.0,297.0,4.0,0.0,345.0,109.0,243.0,63.0,9.0,23.0,5.0,111.0,4.0,23.0,427.0,75.0,0.0,0.0,148.0,8.0,118.0,28.0,1.0,6.0,0.0,3.0,3.0,0.0,153.0,72.0,222.0,4.0,0.0,197.0,101.0,125.0,35.0,8.0,17.0,5.0,108.0,1.0,23.0,274.0
39,California,CA-521,"Davis, Woodland/Yolo County CoC",Sheltered-Only Count,2017,459.0,318.0,174.0,27.0,147.0,182.0,260.0,4.0,13.0,388.0,71.0,304.0,96.0,7.0,10.0,3.0,39.0,84.0,26.0,349.0,126.0,0.0,0.0,210.0,40.0,150.0,73.0,7.0,1.0,0.0,19.0,80.0,17.0,153.0,58.0,134.0,4.0,13.0,178.0,31.0,154.0,23.0,0.0,9.0,3.0,20.0,4.0,9.0,196.0
40,California,CA-522,Humboldt County CoC,Sheltered-Only Count,2017,759.0,667.0,310.0,42.0,268.0,236.0,512.0,1.0,10.0,700.0,59.0,616.0,16.0,5.0,80.0,6.0,36.0,77.0,64.0,618.0,222.0,0.0,2.0,295.0,30.0,275.0,7.0,3.0,14.0,4.0,22.0,61.0,16.0,248.0,135.0,290.0,1.0,8.0,405.0,29.0,341.0,9.0,2.0,66.0,2.0,14.0,16.0,48.0,370.0
41,California,CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered-Only Count,2017,176.0,118.0,34.0,0.0,34.0,62.0,112.0,1.0,1.0,128.0,48.0,135.0,4.0,0.0,24.0,5.0,8.0,35.0,11.0,130.0,23.0,0.0,0.0,32.0,11.0,29.0,2.0,0.0,8.0,1.0,3.0,18.0,2.0,23.0,42.0,89.0,1.0,1.0,96.0,37.0,106.0,2.0,0.0,16.0,4.0,5.0,17.0,9.0,107.0
42,California,CA-524,Yuba City & County/Sutter County CoC,Sheltered-Only Count,2017,760.0,557.0,150.0,74.0,76.0,350.0,365.0,3.0,42.0,646.0,114.0,557.0,42.0,10.0,15.0,7.0,129.0,118.0,47.0,595.0,142.0,1.0,5.0,240.0,47.0,218.0,23.0,5.0,5.0,3.0,33.0,69.0,18.0,200.0,211.0,223.0,2.0,37.0,406.0,67.0,339.0,19.0,5.0,10.0,4.0,96.0,49.0,29.0,395.0
43,California,CA-525,El Dorado County CoC,Sheltered-Only Count,2017,602.0,446.0,241.0,30.0,211.0,232.0,370.0,0.0,0.0,584.0,18.0,540.0,27.0,0.0,18.0,0.0,17.0,97.0,33.0,472.0,67.0,0.0,0.0,94.0,12.0,94.0,3.0,0.0,3.0,0.0,6.0,13.0,5.0,88.0,193.0,303.0,0.0,0.0,490.0,6.0,446.0,24.0,0.0,15.0,0.0,11.0,84.0,28.0,384.0
44,California,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered and Unsheltered Count,2017,367.0,259.0,71.0,4.0,67.0,150.0,212.0,0.0,5.0,329.0,38.0,299.0,10.0,0.0,14.0,2.0,42.0,59.0,46.0,262.0,51.0,0.0,1.0,78.0,25.0,90.0,0.0,0.0,4.0,1.0,8.0,39.0,7.0,57.0,99.0,161.0,0.0,4.0,251.0,13.0,209.0,10.0,0.0,10.0,1.0,34.0,20.0,39.0,205.0
45,California,CA-527,Tehama County CoC,Sheltered-Only Count,2017,124.0,103.0,61.0,24.0,37.0,50.0,74.0,0.0,0.0,100.0,24.0,108.0,1.0,0.0,7.0,0.0,8.0,11.0,3.0,110.0,40.0,0.0,0.0,47.0,21.0,58.0,1.0,0.0,4.0,0.0,5.0,11.0,2.0,55.0,22.0,34.0,0.0,0.0,53.0,3.0,50.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,55.0
46,California,CA-529,Lake County CoC,Sheltered-Only Count,2017,401.0,294.0,178.0,2.0,176.0,162.0,236.0,3.0,0.0,359.0,42.0,293.0,7.0,1.0,63.0,1.0,36.0,57.0,35.0,309.0,10.0,0.0,0.0,17.0,11.0,21.0,0.0,0.0,4.0,0.0,3.0,9.0,6.0,13.0,144.0,226.0,3.0,0.0,342.0,31.0,272.0,7.0,1.0,59.0,1.0,33.0,48.0,29.0,296.0
47,California,CA-530,"Alpine, Inyo, Mono Counties CoC",Sheltered and Unsheltered Count,2017,121.0,102.0,31.0,0.0,31.0,44.0,77.0,0.0,0.0,116.0,5.0,114.0,2.0,2.0,2.0,0.0,1.0,11.0,5.0,105.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,40.0,76.0,0.0,0.0,111.0,5.0,109.0,2.0,2.0,2.0,0.0,1.0,10.0,5.0,101.0
48,California,CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,2017,52442.0,44586.0,16249.0,998.0,15251.0,16346.0,35497.0,463.0,136.0,34087.0,18355.0,21089.0,26665.0,893.0,1569.0,342.0,1884.0,4791.0,3199.0,44452.0,7696.0,84.0,3.0,9552.0,4420.0,5554.0,6996.0,120.0,326.0,109.0,867.0,4065.0,1523.0,8384.0,10157.0,27801.0,379.0,133.0,24535.0,13935.0,15535.0,19669.0,773.0,1243.0,233.0,1017.0,726.0,1676.0,36068.0
