CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
AR-500,Little Rock/Central Arkansas CoC,Sheltered-Only Count,1249.0,329.0,433.0,0.0,762.0,487.0,1065.0,6.0,285.0,5.0,293.0,1.0,0.0,578.0,6.0,487.0,0.0,184.0,44.0,140.0,184.0,0.0,42.0,13.0,29.0,42.0,0.0,123.0,76.0,0.0,76.0,47.0,119.0,72.0,0.0,72.0,47.0,4.0,4.0,4.0,0.0,266.0,156.0,110.0,2012
AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered-Only Count,186.0,54.0,93.0,0.0,147.0,39.0,109.0,0.0,34.0,0.0,44.0,0.0,0.0,78.0,0.0,31.0,0.0,77.0,20.0,49.0,69.0,8.0,31.0,8.0,20.0,28.0,3.0,60.0,24.0,0.0,24.0,36.0,35.0,17.0,0.0,17.0,18.0,25.0,7.0,7.0,18.0,30.0,24.0,6.0,2012
AR-503,Arkansas Balance of State CoC,Sheltered and Unsheltered Count,2715.0,439.0,190.0,0.0,629.0,2086.0,2211.0,66.0,345.0,55.0,147.0,11.0,0.0,492.0,66.0,1719.0,0.0,504.0,94.0,43.0,137.0,367.0,188.0,39.0,20.0,59.0,129.0,254.0,71.0,0.0,71.0,183.0,207.0,53.0,0.0,53.0,154.0,47.0,18.0,18.0,29.0,66.0,25.0,41.0,2012
AR-505,Southeast Arkansas CoC,Sheltered-Only Count,64.0,64.0,0.0,0.0,64.0,0.0,43.0,8.0,43.0,8.0,0.0,0.0,0.0,43.0,8.0,0.0,0.0,21.0,21.0,0.0,21.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
AZ-500,Arizona Balance of State CoC,Sheltered-Only Count,2451.0,1186.0,536.0,0.0,1722.0,729.0,1381.0,19.0,868.0,6.0,217.0,12.0,0.0,1085.0,18.0,296.0,1.0,1070.0,318.0,319.0,637.0,433.0,334.0,144.0,88.0,232.0,102.0,545.0,278.0,0.0,278.0,267.0,307.0,86.0,0.0,86.0,221.0,238.0,192.0,192.0,46.0,273.0,160.0,113.0,2012
AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,2366.0,762.0,980.0,15.0,1757.0,609.0,1508.0,31.0,562.0,14.0,444.0,3.0,15.0,1021.0,17.0,487.0,14.0,858.0,200.0,536.0,736.0,122.0,256.0,64.0,159.0,223.0,33.0,395.0,162.0,9.0,171.0,224.0,366.0,151.0,9.0,160.0,206.0,29.0,11.0,11.0,18.0,353.0,242.0,111.0,2012
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered-Only Count,6485.0,2343.0,2368.0,25.0,4736.0,1749.0,3421.0,79.0,1077.0,10.0,578.0,6.0,25.0,1680.0,16.0,1741.0,63.0,3064.0,1266.0,1790.0,3056.0,8.0,875.0,361.0,511.0,872.0,3.0,955.0,141.0,25.0,166.0,789.0,932.0,118.0,25.0,143.0,789.0,23.0,23.0,23.0,0.0,852.0,605.0,247.0,2012
CA-500,San Jose/Santa Clara City & County CoC,Sheltered-Only Count,7053.0,926.0,949.0,9.0,1884.0,5169.0,6270.0,152.0,780.0,7.0,368.0,0.0,9.0,1157.0,7.0,5113.0,145.0,783.0,146.0,581.0,727.0,56.0,262.0,50.0,194.0,244.0,18.0,2657.0,318.0,9.0,327.0,2330.0,2617.0,313.0,9.0,322.0,2295.0,40.0,5.0,5.0,35.0,667.0,152.0,515.0,2012
CA-501,San Francisco CoC,Sheltered and Unsheltered Count,5895.0,1757.0,742.0,25.0,2524.0,3371.0,5177.0,35.0,1447.0,10.0,429.0,0.0,25.0,1901.0,10.0,3276.0,25.0,718.0,310.0,313.0,623.0,95.0,268.0,109.0,119.0,228.0,40.0,1899.0,772.0,17.0,789.0,1110.0,1818.0,691.0,17.0,708.0,1110.0,81.0,81.0,81.0,0.0,774.0,344.0,430.0,2012
CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered-Only Count,4257.0,866.0,1179.0,0.0,2045.0,2212.0,3208.0,0.0,546.0,0.0,590.0,0.0,0.0,1136.0,0.0,2072.0,0.0,1049.0,320.0,589.0,909.0,140.0,332.0,111.0,197.0,308.0,24.0,1092.0,108.0,0.0,108.0,984.0,1041.0,99.0,0.0,99.0,942.0,51.0,9.0,9.0,42.0,440.0,95.0,345.0,2012
CA-503,Sacramento City & County CoC,Sheltered-Only Count,2812.0,839.0,1018.0,0.0,1857.0,955.0,1985.0,25.0,477.0,5.0,558.0,0.0,0.0,1035.0,5.0,950.0,20.0,827.0,362.0,460.0,822.0,5.0,237.0,90.0,145.0,235.0,2.0,463.0,221.0,0.0,221.0,242.0,454.0,212.0,0.0,212.0,242.0,9.0,9.0,9.0,0.0,329.0,148.0,181.0,2012
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered-Only Count,4483.0,530.0,587.0,0.0,1117.0,3366.0,3890.0,260.0,362.0,0.0,202.0,0.0,0.0,564.0,0.0,3326.0,260.0,593.0,168.0,385.0,553.0,40.0,186.0,49.0,125.0,174.0,12.0,1032.0,77.0,0.0,77.0,955.0,1014.0,60.0,0.0,60.0,954.0,18.0,17.0,17.0,1.0,384.0,57.0,327.0,2012
CA-505,Richmond/Contra Costa County CoC,Sheltered-Only Count,2386.0,483.0,413.0,0.0,896.0,1490.0,1960.0,5.0,315.0,5.0,158.0,0.0,0.0,473.0,5.0,1487.0,0.0,426.0,168.0,255.0,423.0,3.0,137.0,51.0,85.0,136.0,1.0,753.0,220.0,0.0,220.0,533.0,721.0,193.0,0.0,193.0,528.0,32.0,27.0,27.0,5.0,82.0,74.0,8.0,2012
CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered-Only Count,2673.0,267.0,495.0,0.0,762.0,1911.0,1761.0,97.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1757.0,97.0,912.0,267.0,491.0,758.0,154.0,153.0,39.0,83.0,122.0,31.0,822.0,43.0,0.0,43.0,779.0,794.0,43.0,0.0,43.0,751.0,28.0,0.0,0.0,28.0,290.0,46.0,244.0,2012
CA-507,Marin County CoC,Sheltered and Unsheltered Count,725.0,201.0,295.0,0.0,496.0,229.0,516.0,0.0,157.0,0.0,130.0,0.0,0.0,287.0,0.0,229.0,0.0,209.0,44.0,165.0,209.0,0.0,80.0,14.0,66.0,80.0,0.0,163.0,62.0,0.0,62.0,101.0,163.0,62.0,0.0,62.0,101.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0,2012
CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered-Only Count,2735.0,370.0,240.0,0.0,610.0,2125.0,2345.0,95.0,220.0,0.0,60.0,23.0,0.0,280.0,23.0,2065.0,72.0,390.0,150.0,180.0,330.0,60.0,123.0,57.0,51.0,108.0,15.0,990.0,43.0,0.0,43.0,947.0,967.0,36.0,0.0,36.0,931.0,23.0,7.0,7.0,16.0,271.0,26.0,245.0,2012
CA-509,Mendocino County CoC,Sheltered-Only Count,1441.0,97.0,30.0,0.0,127.0,1314.0,1347.0,13.0,78.0,0.0,15.0,0.0,0.0,93.0,0.0,1254.0,13.0,94.0,19.0,15.0,34.0,60.0,32.0,5.0,7.0,12.0,20.0,319.0,7.0,0.0,7.0,312.0,267.0,7.0,0.0,7.0,260.0,52.0,0.0,0.0,52.0,84.0,10.0,74.0,2012
CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered-Only Count,1470.0,322.0,357.0,0.0,679.0,791.0,861.0,7.0,157.0,7.0,105.0,0.0,0.0,262.0,7.0,599.0,0.0,609.0,165.0,252.0,417.0,192.0,188.0,55.0,84.0,139.0,49.0,306.0,166.0,0.0,166.0,140.0,288.0,166.0,0.0,166.0,122.0,18.0,0.0,0.0,18.0,49.0,19.0,30.0,2012
CA-511,Stockton/San Joaquin County CoC,Sheltered-Only Count,1569.0,819.0,503.0,0.0,1322.0,247.0,739.0,5.0,470.0,4.0,47.0,0.0,0.0,517.0,4.0,222.0,1.0,830.0,349.0,456.0,805.0,25.0,254.0,106.0,141.0,247.0,7.0,236.0,125.0,0.0,125.0,111.0,202.0,108.0,0.0,108.0,94.0,34.0,17.0,17.0,17.0,80.0,60.0,20.0,2012
CA-512,Daly/San Mateo County CoC,Sheltered-Only Count,1845.0,156.0,527.0,0.0,683.0,1162.0,1274.0,9.0,91.0,5.0,154.0,2.0,0.0,245.0,7.0,1029.0,2.0,571.0,65.0,373.0,438.0,133.0,160.0,21.0,102.0,123.0,37.0,496.0,20.0,0.0,20.0,476.0,496.0,20.0,0.0,20.0,476.0,0.0,0.0,0.0,0.0,173.0,26.0,147.0,2012
CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,771.0,147.0,269.0,0.0,416.0,355.0,566.0,1.0,76.0,0.0,170.0,0.0,0.0,246.0,0.0,320.0,1.0,205.0,71.0,99.0,170.0,35.0,62.0,24.0,28.0,52.0,10.0,201.0,21.0,0.0,21.0,180.0,178.0,20.0,0.0,20.0,158.0,23.0,1.0,1.0,22.0,40.0,8.0,32.0,2012
CA-514,Fresno City & County/Madera County CoC,Sheltered-Only Count,4492.0,141.0,506.0,23.0,670.0,3822.0,3554.0,15.0,59.0,5.0,248.0,2.0,23.0,330.0,7.0,3224.0,8.0,938.0,82.0,258.0,340.0,598.0,366.0,24.0,89.0,113.0,253.0,824.0,18.0,19.0,37.0,787.0,651.0,18.0,19.0,37.0,614.0,173.0,0.0,0.0,173.0,606.0,64.0,542.0,2012
CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered-Only Count,742.0,172.0,215.0,0.0,387.0,355.0,508.0,0.0,91.0,0.0,100.0,0.0,0.0,191.0,0.0,317.0,0.0,234.0,81.0,115.0,196.0,38.0,75.0,24.0,38.0,62.0,13.0,168.0,46.0,0.0,46.0,122.0,107.0,31.0,0.0,31.0,76.0,61.0,15.0,15.0,46.0,59.0,22.0,37.0,2012
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,524.0,250.0,92.0,0.0,342.0,182.0,384.0,5.0,161.0,0.0,71.0,4.0,0.0,232.0,4.0,152.0,1.0,140.0,89.0,21.0,110.0,30.0,49.0,26.0,8.0,34.0,15.0,180.0,92.0,0.0,92.0,88.0,79.0,40.0,0.0,40.0,39.0,101.0,52.0,52.0,49.0,67.0,38.0,29.0,2012
CA-517,Napa City & County CoC,Sheltered-Only Count,248.0,109.0,47.0,0.0,156.0,92.0,184.0,0.0,87.0,0.0,14.0,0.0,0.0,101.0,0.0,83.0,0.0,64.0,22.0,33.0,55.0,9.0,26.0,9.0,13.0,22.0,4.0,85.0,51.0,0.0,51.0,34.0,84.0,50.0,0.0,50.0,34.0,1.0,1.0,1.0,0.0,14.0,5.0,9.0,2012
CA-518,Vallejo/Solano County CoC,Sheltered-Only Count,622.0,154.0,233.0,0.0,387.0,235.0,383.0,5.0,58.0,0.0,139.0,5.0,0.0,197.0,5.0,186.0,0.0,239.0,96.0,94.0,190.0,49.0,93.0,30.0,42.0,72.0,21.0,64.0,64.0,0.0,64.0,0.0,50.0,50.0,0.0,50.0,0.0,14.0,14.0,14.0,0.0,28.0,14.0,14.0,2012
CA-519,"Chico, Paradise/Butte County CoC",Sheltered-Only Count,897.0,195.0,162.0,0.0,357.0,540.0,760.0,7.0,161.0,0.0,86.0,0.0,0.0,247.0,0.0,513.0,7.0,137.0,34.0,76.0,110.0,27.0,46.0,12.0,24.0,36.0,10.0,268.0,31.0,0.0,31.0,237.0,263.0,27.0,0.0,27.0,236.0,5.0,4.0,4.0,1.0,102.0,32.0,70.0,2012
CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,502.0,89.0,75.0,0.0,164.0,338.0,479.0,0.0,83.0,0.0,58.0,0.0,0.0,141.0,0.0,338.0,0.0,23.0,6.0,17.0,23.0,0.0,7.0,2.0,5.0,7.0,0.0,315.0,109.0,0.0,109.0,206.0,312.0,106.0,0.0,106.0,206.0,3.0,3.0,3.0,0.0,52.0,8.0,44.0,2012
CA-521,"Davis, Woodland/Yolo County CoC",Sheltered-Only Count,513.0,104.0,146.0,0.0,250.0,263.0,383.0,2.0,82.0,1.0,55.0,0.0,0.0,137.0,1.0,246.0,1.0,130.0,22.0,91.0,113.0,17.0,42.0,7.0,30.0,37.0,5.0,198.0,31.0,0.0,31.0,167.0,186.0,31.0,0.0,31.0,155.0,12.0,0.0,0.0,12.0,45.0,9.0,36.0,2012
CA-522,Humboldt County CoC,Sheltered-Only Count,846.0,260.0,132.0,0.0,392.0,454.0,633.0,13.0,173.0,3.0,59.0,5.0,0.0,232.0,8.0,401.0,5.0,213.0,87.0,73.0,160.0,53.0,70.0,26.0,25.0,51.0,19.0,256.0,103.0,0.0,103.0,153.0,222.0,87.0,0.0,87.0,135.0,34.0,16.0,16.0,18.0,141.0,62.0,79.0,2012
CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered-Only Count,303.0,80.0,84.0,0.0,164.0,139.0,185.0,0.0,45.0,0.0,33.0,0.0,0.0,78.0,0.0,107.0,0.0,118.0,35.0,51.0,86.0,32.0,38.0,11.0,16.0,27.0,11.0,109.0,41.0,0.0,41.0,68.0,80.0,19.0,0.0,19.0,61.0,29.0,22.0,22.0,7.0,32.0,21.0,11.0,2012
CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,492.0,133.0,139.0,0.0,272.0,220.0,311.0,0.0,61.0,0.0,88.0,0.0,0.0,149.0,0.0,162.0,0.0,181.0,72.0,51.0,123.0,58.0,59.0,21.0,18.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,3.0,2012
CA-525,El Dorado County CoC,Sheltered-Only Count,217.0,110.0,70.0,0.0,180.0,37.0,155.0,6.0,84.0,6.0,40.0,0.0,0.0,124.0,6.0,31.0,0.0,62.0,26.0,30.0,56.0,6.0,26.0,10.0,13.0,23.0,3.0,55.0,48.0,0.0,48.0,7.0,39.0,32.0,0.0,32.0,7.0,16.0,16.0,16.0,0.0,10.0,9.0,1.0,2012
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered-Only Count,379.0,45.0,65.0,0.0,110.0,269.0,204.0,3.0,26.0,0.0,17.0,0.0,0.0,43.0,0.0,161.0,3.0,175.0,19.0,48.0,67.0,108.0,53.0,7.0,11.0,18.0,35.0,86.0,6.0,0.0,6.0,80.0,78.0,6.0,0.0,6.0,72.0,8.0,0.0,0.0,8.0,24.0,6.0,18.0,2012
CA-528,Del Norte County CoC,Sheltered-Only Count,437.0,16.0,0.0,0.0,16.0,421.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,132.0,16.0,0.0,16.0,116.0,38.0,8.0,0.0,8.0,30.0,384.0,0.0,0.0,0.0,384.0,126.0,0.0,0.0,0.0,126.0,258.0,0.0,0.0,258.0,10.0,0.0,10.0,2012
CA-600,Los Angeles City & County CoC,Sheltered-Only Count,31553.0,7173.0,6618.0,22.0,13813.0,17740.0,24609.0,368.0,4589.0,60.0,4222.0,29.0,22.0,8833.0,89.0,15776.0,279.0,6944.0,2584.0,2396.0,4980.0,1964.0,2245.0,862.0,831.0,1693.0,552.0,7930.0,1351.0,22.0,1373.0,6557.0,6604.0,1271.0,22.0,1293.0,5311.0,1326.0,80.0,80.0,1246.0,4521.0,1483.0,3038.0,2012
CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,10013.0,1040.0,3279.0,52.0,4371.0,5642.0,7755.0,64.0,793.0,17.0,1914.0,32.0,52.0,2759.0,49.0,4996.0,15.0,2258.0,247.0,1365.0,1612.0,646.0,810.0,82.0,444.0,526.0,284.0,2691.0,205.0,26.0,231.0,2460.0,2541.0,186.0,26.0,212.0,2329.0,150.0,19.0,19.0,131.0,1753.0,831.0,922.0,2012
CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered-Only Count,7010.0,1154.0,1584.0,0.0,2738.0,4272.0,5257.0,41.0,543.0,15.0,464.0,13.0,0.0,1007.0,28.0,4250.0,13.0,1753.0,611.0,1120.0,1731.0,22.0,540.0,200.0,333.0,533.0,7.0,1690.0,101.0,0.0,101.0,1589.0,1686.0,101.0,0.0,101.0,1585.0,4.0,0.0,0.0,4.0,869.0,109.0,760.0,2012
CA-603,Santa Maria/Santa Barbara County CoC,Sheltered-Only Count,1546.0,499.0,179.0,0.0,678.0,868.0,1318.0,2.0,397.0,1.0,96.0,0.0,0.0,493.0,1.0,825.0,1.0,228.0,102.0,83.0,185.0,43.0,78.0,35.0,29.0,64.0,14.0,650.0,264.0,0.0,264.0,386.0,628.0,258.0,0.0,258.0,370.0,22.0,6.0,6.0,16.0,173.0,85.0,88.0,2012
CA-604,Bakersfield/Kern County CoC,Sheltered-Only Count,1352.0,368.0,151.0,0.0,519.0,833.0,1146.0,1.0,252.0,0.0,105.0,0.0,0.0,357.0,0.0,789.0,1.0,206.0,116.0,46.0,162.0,44.0,73.0,40.0,16.0,56.0,17.0,445.0,52.0,0.0,52.0,393.0,379.0,47.0,0.0,47.0,332.0,66.0,5.0,5.0,61.0,172.0,78.0,94.0,2012
CA-606,Long Beach CoC,Sheltered-Only Count,3170.0,420.0,528.0,19.0,967.0,2203.0,2609.0,0.0,325.0,0.0,329.0,0.0,19.0,673.0,0.0,1936.0,0.0,561.0,95.0,199.0,294.0,267.0,177.0,29.0,62.0,91.0,86.0,1123.0,120.0,19.0,139.0,984.0,1090.0,109.0,19.0,128.0,962.0,33.0,11.0,11.0,22.0,629.0,320.0,309.0,2012
CA-607,Pasadena CoC,Sheltered and Unsheltered Count,904.0,354.0,113.0,0.0,467.0,437.0,779.0,0.0,285.0,0.0,63.0,0.0,0.0,348.0,0.0,431.0,0.0,125.0,69.0,50.0,119.0,6.0,50.0,27.0,20.0,47.0,3.0,260.0,41.0,0.0,41.0,219.0,230.0,14.0,0.0,14.0,216.0,30.0,27.0,27.0,3.0,52.0,5.0,47.0,2012
CA-608,Riverside City & County CoC,Sheltered-Only Count,6096.0,479.0,527.0,0.0,1006.0,5090.0,5605.0,120.0,342.0,11.0,204.0,0.0,0.0,546.0,11.0,5059.0,109.0,491.0,137.0,323.0,460.0,31.0,153.0,40.0,103.0,143.0,10.0,2643.0,192.0,0.0,192.0,2451.0,2581.0,136.0,0.0,136.0,2445.0,62.0,56.0,56.0,6.0,912.0,98.0,814.0,2012
CA-609,San Bernardino City & County CoC,Sheltered-Only Count,2532.0,382.0,458.0,0.0,840.0,1692.0,1781.0,3.0,240.0,0.0,175.0,0.0,0.0,415.0,0.0,1366.0,3.0,751.0,142.0,283.0,425.0,326.0,194.0,35.0,70.0,105.0,89.0,210.0,30.0,0.0,30.0,180.0,148.0,26.0,0.0,26.0,122.0,62.0,4.0,4.0,58.0,224.0,58.0,166.0,2012
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,1926.0,350.0,323.0,10.0,683.0,1243.0,1627.0,0.0,295.0,0.0,118.0,0.0,10.0,423.0,0.0,1204.0,0.0,299.0,55.0,205.0,260.0,39.0,89.0,18.0,60.0,78.0,11.0,496.0,75.0,9.0,84.0,412.0,490.0,69.0,9.0,78.0,412.0,6.0,6.0,6.0,0.0,134.0,26.0,108.0,2012
CA-612,Glendale CoC,Sheltered and Unsheltered Count,299.0,94.0,85.0,0.0,179.0,120.0,165.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,0.0,120.0,0.0,134.0,49.0,85.0,134.0,0.0,45.0,16.0,29.0,45.0,0.0,116.0,28.0,0.0,28.0,88.0,107.0,19.0,0.0,19.0,88.0,9.0,9.0,9.0,0.0,14.0,4.0,10.0,2012
CA-613,Imperial County CoC,Sheltered and Unsheltered Count,239.0,93.0,43.0,0.0,136.0,103.0,158.0,7.0,55.0,7.0,0.0,0.0,0.0,55.0,7.0,103.0,0.0,81.0,38.0,43.0,81.0,0.0,26.0,12.0,14.0,26.0,0.0,179.0,21.0,0.0,21.0,158.0,95.0,16.0,0.0,16.0,79.0,84.0,5.0,5.0,79.0,6.0,0.0,6.0,2012
CA-614,San Luis Obispo County CoC,Sheltered-Only Count,2129.0,156.0,72.0,0.0,228.0,1901.0,1752.0,0.0,100.0,0.0,38.0,0.0,0.0,138.0,0.0,1614.0,0.0,377.0,56.0,34.0,90.0,287.0,134.0,16.0,10.0,26.0,108.0,502.0,14.0,0.0,14.0,488.0,313.0,12.0,0.0,12.0,301.0,189.0,2.0,2.0,187.0,225.0,14.0,211.0,2012
