CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
AR-500,Little Rock/Central Arkansas CoC,Sheltered and Unsheltered Count,1425.0,349.0,624.0,973.0,452.0,1179.0,302.0,433.0,735.0,444.0,246.0,47.0,191.0,238.0,8.0,66.0,18.0,46.0,64.0,2.0,70.0,54.0,54.0,16.0,2009
AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered and Unsheltered Count,221.0,101.0,90.0,191.0,30.0,102.0,50.0,23.0,73.0,29.0,119.0,51.0,67.0,118.0,1.0,50.0,18.0,31.0,49.0,1.0,54.0,38.0,38.0,16.0,2009
AR-502,Conway/Arkansas River Valley,Sheltered and Unsheltered Count,146.0,26.0,8.0,34.0,112.0,98.0,18.0,8.0,26.0,72.0,48.0,8.0,0.0,8.0,40.0,16.0,3.0,0.0,3.0,13.0,16.0,3.0,3.0,13.0,2009
AR-504,Delta Hills CoC,Sheltered and Unsheltered Count,969.0,138.0,321.0,459.0,510.0,731.0,103.0,307.0,410.0,321.0,238.0,35.0,14.0,49.0,189.0,95.0,15.0,5.0,20.0,75.0,252.0,39.0,39.0,213.0,2009
AR-505,Southeast Arkansas CoC,Sheltered and Unsheltered Count,51.0,33.0,18.0,51.0,0.0,31.0,21.0,10.0,31.0,0.0,20.0,12.0,8.0,20.0,0.0,7.0,4.0,3.0,7.0,0.0,12.0,12.0,12.0,0.0,2009
AR-506,"Johnson, Pope, Yell Counties",Sheltered and Unsheltered Count,40.0,5.0,17.0,22.0,18.0,40.0,5.0,17.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2009
AZ-500,Arizona Balance of State CoC,Sheltered and Unsheltered Count,3236.0,685.0,487.0,1172.0,2064.0,2217.0,388.0,201.0,589.0,1628.0,1019.0,297.0,286.0,583.0,436.0,295.0,97.0,87.0,184.0,111.0,409.0,98.0,98.0,311.0,2009
AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,3596.0,807.0,1416.0,2223.0,1373.0,2608.0,580.0,676.0,1256.0,1352.0,988.0,227.0,740.0,967.0,21.0,308.0,72.0,229.0,301.0,7.0,927.0,171.0,171.0,756.0,2009
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered and Unsheltered Count,7889.0,2528.0,2443.0,4971.0,2918.0,5134.0,1484.0,962.0,2446.0,2688.0,2755.0,1044.0,1481.0,2525.0,230.0,803.0,309.0,457.0,766.0,37.0,893.0,269.0,269.0,624.0,2009
CA-500,San Jose/Santa Clara City & County CoC,Sheltered and Unsheltered Count,7086.0,1078.0,1025.0,2103.0,4983.0,6078.0,840.0,321.0,1161.0,4917.0,1008.0,238.0,704.0,942.0,66.0,285.0,77.0,187.0,264.0,21.0,2270.0,195.0,195.0,2075.0,2009
CA-501,San Francisco CoC,Sheltered and Unsheltered Count,5823.0,2056.0,825.0,2881.0,2942.0,5309.0,1746.0,646.0,2392.0,2917.0,514.0,310.0,179.0,489.0,25.0,178.0,106.0,62.0,168.0,10.0,2816.0,1008.0,1008.0,1808.0,2009
CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered and Unsheltered Count,4341.0,1104.0,1274.0,2378.0,1963.0,2771.0,711.0,519.0,1230.0,1541.0,1570.0,393.0,755.0,1148.0,422.0,484.0,130.0,282.0,412.0,72.0,1026.0,266.0,266.0,760.0,2009
CA-503,Sacramento City & County CoC,Sheltered and Unsheltered Count,2800.0,711.0,895.0,1606.0,1194.0,2257.0,582.0,497.0,1079.0,1178.0,543.0,129.0,398.0,527.0,16.0,185.0,41.0,138.0,179.0,6.0,468.0,191.0,191.0,277.0,2009
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,3247.0,504.0,521.0,1025.0,2222.0,2759.0,327.0,216.0,543.0,2216.0,488.0,177.0,305.0,482.0,6.0,165.0,59.0,104.0,163.0,2.0,979.0,57.0,57.0,922.0,2009
CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2759.0,509.0,378.0,887.0,1872.0,2365.0,306.0,197.0,503.0,1862.0,394.0,203.0,181.0,384.0,10.0,121.0,62.0,54.0,116.0,5.0,940.0,89.0,89.0,851.0,2009
CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered and Unsheltered Count,2407.0,263.0,516.0,779.0,1628.0,1909.0,212.0,191.0,403.0,1506.0,498.0,51.0,325.0,376.0,122.0,117.0,13.0,76.0,89.0,28.0,656.0,159.0,159.0,497.0,2009
CA-507,Marin County CoC,Sheltered and Unsheltered Count,1026.0,261.0,336.0,597.0,429.0,767.0,211.0,156.0,367.0,400.0,259.0,50.0,180.0,230.0,29.0,85.0,13.0,62.0,75.0,10.0,135.0,92.0,92.0,43.0,2009
CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered and Unsheltered Count,2265.0,360.0,369.0,729.0,1536.0,1815.0,213.0,110.0,323.0,1492.0,450.0,147.0,259.0,406.0,44.0,145.0,45.0,86.0,131.0,14.0,842.0,51.0,51.0,791.0,2009
CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,1202.0,135.0,100.0,235.0,967.0,1071.0,75.0,51.0,126.0,945.0,131.0,60.0,49.0,109.0,22.0,44.0,21.0,16.0,37.0,7.0,474.0,34.0,34.0,440.0,2009
CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,1800.0,496.0,305.0,801.0,999.0,1118.0,311.0,173.0,484.0,634.0,682.0,185.0,132.0,317.0,365.0,281.0,70.0,46.0,116.0,165.0,442.0,68.0,68.0,374.0,2009
CA-511,Stockton/San Joaquin County CoC,Sheltered and Unsheltered Count,3005.0,2302.0,538.0,2840.0,165.0,2122.0,1817.0,140.0,1957.0,165.0,883.0,485.0,398.0,883.0,0.0,281.0,161.0,120.0,281.0,0.0,377.0,278.0,278.0,99.0,2009
CA-512,Daly/San Mateo County CoC,Sheltered and Unsheltered Count,1567.0,173.0,591.0,764.0,803.0,1151.0,112.0,311.0,423.0,728.0,416.0,61.0,280.0,341.0,75.0,120.0,18.0,82.0,100.0,20.0,472.0,46.0,46.0,426.0,2009
CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,966.0,81.0,129.0,210.0,756.0,572.0,36.0,81.0,117.0,455.0,394.0,45.0,48.0,93.0,301.0,114.0,21.0,11.0,32.0,82.0,128.0,19.0,19.0,109.0,2009
CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,4345.0,1061.0,827.0,1888.0,2457.0,3347.0,748.0,334.0,1082.0,2265.0,998.0,313.0,493.0,806.0,192.0,320.0,83.0,160.0,243.0,77.0,901.0,267.0,267.0,634.0,2009
CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered and Unsheltered Count,1054.0,189.0,383.0,572.0,482.0,700.0,132.0,175.0,307.0,393.0,354.0,57.0,208.0,265.0,89.0,118.0,21.0,70.0,91.0,27.0,231.0,62.0,62.0,169.0,2009
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,340.0,124.0,70.0,194.0,146.0,205.0,73.0,17.0,90.0,115.0,135.0,51.0,53.0,104.0,31.0,42.0,17.0,14.0,31.0,11.0,55.0,11.0,11.0,44.0,2009
CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,314.0,121.0,65.0,186.0,128.0,261.0,81.0,52.0,133.0,128.0,53.0,40.0,13.0,53.0,0.0,16.0,11.0,5.0,16.0,0.0,132.0,61.0,61.0,71.0,2009
CA-518,Vallejo/Solano County CoC,Sheltered and Unsheltered Count,829.0,198.0,205.0,403.0,426.0,468.0,73.0,124.0,197.0,271.0,361.0,125.0,81.0,206.0,155.0,147.0,51.0,36.0,87.0,60.0,105.0,48.0,48.0,57.0,2009
CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,689.0,124.0,179.0,303.0,386.0,558.0,102.0,89.0,191.0,367.0,131.0,22.0,90.0,112.0,19.0,38.0,9.0,24.0,33.0,5.0,190.0,40.0,40.0,150.0,2009
CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,372.0,83.0,65.0,148.0,224.0,344.0,58.0,62.0,120.0,224.0,28.0,25.0,3.0,28.0,0.0,10.0,9.0,1.0,10.0,0.0,51.0,21.0,21.0,30.0,2009
CA-521,"Davis, Woodland/Yolo County CoC",Sheltered and Unsheltered Count,491.0,82.0,120.0,202.0,289.0,365.0,63.0,29.0,92.0,273.0,126.0,19.0,91.0,110.0,16.0,41.0,7.0,27.0,34.0,7.0,150.0,27.0,27.0,123.0,2009
CA-522,Humboldt County CoC,Sheltered and Unsheltered Count,1355.0,224.0,131.0,355.0,1000.0,889.0,153.0,57.0,210.0,679.0,466.0,71.0,74.0,145.0,321.0,138.0,26.0,26.0,52.0,86.0,427.0,40.0,40.0,387.0,2009
CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered and Unsheltered Count,197.0,29.0,45.0,74.0,123.0,145.0,19.0,18.0,37.0,108.0,52.0,10.0,27.0,37.0,15.0,18.0,4.0,9.0,13.0,5.0,40.0,0.0,0.0,40.0,2009
CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,411.0,65.0,238.0,303.0,108.0,169.0,43.0,34.0,77.0,92.0,242.0,22.0,204.0,226.0,16.0,75.0,9.0,60.0,69.0,6.0,78.0,24.0,24.0,54.0,2009
CA-525,El Dorado County CoC,Sheltered and Unsheltered Count,146.0,14.0,49.0,63.0,83.0,98.0,1.0,22.0,23.0,75.0,48.0,13.0,27.0,40.0,8.0,15.0,4.0,8.0,12.0,3.0,15.0,0.0,0.0,15.0,2009
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered and Unsheltered Count,372.0,105.0,45.0,150.0,222.0,175.0,30.0,0.0,30.0,145.0,197.0,75.0,45.0,120.0,77.0,64.0,27.0,15.0,42.0,22.0,89.0,14.0,14.0,75.0,2009
CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,33243.0,5793.0,8257.0,14050.0,19193.0,28358.0,4513.0,5663.0,10176.0,18182.0,4885.0,1280.0,2594.0,3874.0,1011.0,1840.0,432.0,933.0,1365.0,475.0,7661.0,2414.0,2414.0,5247.0,2009
CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,7995.0,959.0,3022.0,3981.0,4014.0,6294.0,683.0,1706.0,2389.0,3905.0,1701.0,276.0,1316.0,1592.0,109.0,554.0,94.0,424.0,518.0,36.0,1275.0,354.0,354.0,921.0,2009
CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered and Unsheltered Count,8333.0,962.0,1647.0,2609.0,5724.0,6956.0,774.0,539.0,1313.0,5643.0,1377.0,188.0,1108.0,1296.0,81.0,481.0,70.0,384.0,454.0,27.0,3783.0,205.0,205.0,3578.0,2009
CA-603,Santa Maria/Santa Barbara County CoC,Sheltered and Unsheltered Count,4121.0,401.0,747.0,1148.0,2973.0,3333.0,301.0,445.0,746.0,2587.0,788.0,100.0,302.0,402.0,386.0,262.0,36.0,99.0,135.0,127.0,483.0,236.0,236.0,247.0,2009
CA-604,Bakersfield/Kern County CoC,Sheltered and Unsheltered Count,1499.0,380.0,287.0,667.0,832.0,1251.0,204.0,260.0,464.0,787.0,248.0,176.0,27.0,203.0,45.0,78.0,53.0,7.0,60.0,18.0,258.0,39.0,39.0,219.0,2009
CA-606,Long Beach CoC,Sheltered and Unsheltered Count,3909.0,542.0,1612.0,2154.0,1755.0,3200.0,412.0,1248.0,1660.0,1540.0,709.0,130.0,364.0,494.0,215.0,224.0,43.0,113.0,156.0,68.0,789.0,115.0,115.0,674.0,2009
CA-607,Pasadena CoC,Sheltered and Unsheltered Count,1144.0,164.0,239.0,403.0,741.0,918.0,97.0,153.0,250.0,668.0,226.0,67.0,86.0,153.0,73.0,93.0,32.0,32.0,64.0,29.0,281.0,27.0,27.0,254.0,2009
CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,3366.0,618.0,705.0,1323.0,2043.0,2282.0,413.0,524.0,937.0,1345.0,1084.0,205.0,181.0,386.0,698.0,265.0,57.0,85.0,142.0,123.0,969.0,274.0,274.0,695.0,2009
CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,2026.0,315.0,453.0,768.0,1258.0,1397.0,126.0,181.0,307.0,1090.0,629.0,189.0,272.0,461.0,168.0,221.0,79.0,97.0,176.0,45.0,361.0,70.0,70.0,291.0,2009
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,2193.0,145.0,316.0,461.0,1732.0,1653.0,101.0,199.0,300.0,1353.0,540.0,44.0,117.0,161.0,379.0,179.0,19.0,42.0,61.0,118.0,745.0,74.0,74.0,671.0,2009
CA-612,Glendale CoC,Sheltered and Unsheltered Count,306.0,86.0,52.0,138.0,168.0,157.0,49.0,0.0,49.0,108.0,149.0,37.0,52.0,89.0,60.0,63.0,16.0,29.0,45.0,18.0,105.0,6.0,6.0,99.0,2009
CA-613,Imperial County CoC,Sheltered and Unsheltered Count,505.0,91.0,66.0,157.0,348.0,400.0,52.0,0.0,52.0,348.0,105.0,39.0,66.0,105.0,0.0,33.0,12.0,21.0,33.0,0.0,12.0,12.0,12.0,0.0,2009
CA-614,San Luis Obispo County CoC,Sheltered and Unsheltered Count,3829.0,173.0,69.0,242.0,3587.0,1547.0,49.0,28.0,77.0,1470.0,2282.0,124.0,41.0,165.0,2117.0,673.0,28.0,10.0,38.0,635.0,201.0,7.0,7.0,194.0,2009
CO-500,Colorado Balance of State CoC,Sheltered and Unsheltered Count,5267.0,679.0,408.0,1087.0,4180.0,1324.0,221.0,58.0,279.0,1045.0,3943.0,458.0,350.0,808.0,3135.0,986.0,114.0,88.0,202.0,784.0,259.0,11.0,11.0,248.0,2009
CO-503,Metropolitan Denver CoC,Sheltered and Unsheltered Count,8752.0,3794.0,3259.0,7053.0,1699.0,5081.0,2490.0,1163.0,3653.0,1428.0,3671.0,1304.0,2096.0,3400.0,271.0,1156.0,411.0,660.0,1071.0,85.0,839.0,404.0,404.0,435.0,2009
CO-504,Colorado Springs/El Paso County CoC,Sheltered and Unsheltered Count,1249.0,422.0,469.0,891.0,358.0,996.0,372.0,272.0,644.0,352.0,253.0,50.0,197.0,247.0,6.0,82.0,16.0,64.0,80.0,2.0,188.0,95.0,95.0,93.0,2009
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Sheltered and Unsheltered Count,825.0,434.0,286.0,720.0,105.0,545.0,320.0,129.0,449.0,96.0,280.0,114.0,157.0,271.0,9.0,96.0,35.0,57.0,92.0,4.0,180.0,134.0,134.0,46.0,2009
CT-505,Connecticut Balance of State CoC,Sheltered and Unsheltered Count,3780.0,2108.0,1275.0,3383.0,397.0,2228.0,1293.0,546.0,1839.0,389.0,1552.0,815.0,729.0,1544.0,8.0,528.0,282.0,243.0,525.0,3.0,644.0,506.0,506.0,138.0,2009
DC-500,District of Columbia CoC,Sheltered and Unsheltered Count,6228.0,3315.0,2592.0,5907.0,321.0,3934.0,2632.0,981.0,3613.0,321.0,2294.0,683.0,1611.0,2294.0,0.0,703.0,203.0,500.0,703.0,0.0,1923.0,1632.0,1632.0,291.0,2009
DE-500,Delaware Statewide CoC,Sheltered and Unsheltered Count,1130.0,583.0,500.0,1083.0,47.0,776.0,396.0,333.0,729.0,47.0,354.0,187.0,167.0,354.0,0.0,117.0,59.0,58.0,117.0,0.0,167.0,150.0,150.0,17.0,2009
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered and Unsheltered Count,1999.0,181.0,167.0,348.0,1651.0,1201.0,97.0,96.0,193.0,1008.0,798.0,84.0,71.0,155.0,643.0,231.0,26.0,29.0,55.0,176.0,125.0,27.0,27.0,98.0,2009
FL-501,Tampa/Hillsborough County CoC,Sheltered and Unsheltered Count,7473.0,321.0,405.0,726.0,6747.0,4107.0,236.0,262.0,498.0,3609.0,3366.0,85.0,143.0,228.0,3138.0,1201.0,30.0,50.0,80.0,1121.0,598.0,210.0,210.0,388.0,2009
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,3419.0,871.0,820.0,1691.0,1728.0,2843.0,712.0,540.0,1252.0,1591.0,576.0,159.0,280.0,439.0,137.0,226.0,69.0,100.0,169.0,57.0,631.0,186.0,186.0,445.0,2009
FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,725.0,189.0,177.0,366.0,359.0,606.0,153.0,125.0,278.0,328.0,119.0,36.0,52.0,88.0,31.0,35.0,10.0,16.0,26.0,9.0,186.0,75.0,75.0,111.0,2009
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,1913.0,45.0,548.0,593.0,1320.0,1507.0,38.0,149.0,187.0,1320.0,406.0,7.0,399.0,406.0,0.0,95.0,2.0,93.0,95.0,0.0,157.0,0.0,0.0,157.0,2009
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2446.0,229.0,80.0,309.0,2137.0,1515.0,182.0,40.0,222.0,1293.0,931.0,47.0,40.0,87.0,844.0,368.0,15.0,16.0,31.0,337.0,297.0,61.0,61.0,236.0,2009
FL-506,Tallahassee/Leon County CoC,Sheltered and Unsheltered Count,640.0,276.0,260.0,536.0,104.0,475.0,219.0,179.0,398.0,77.0,165.0,57.0,81.0,138.0,27.0,48.0,15.0,25.0,40.0,8.0,150.0,100.0,100.0,50.0,2009
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,3970.0,1256.0,1198.0,2454.0,1516.0,2246.0,704.0,608.0,1312.0,934.0,1724.0,552.0,590.0,1142.0,582.0,574.0,184.0,196.0,380.0,194.0,1537.0,603.0,603.0,934.0,2009
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,924.0,133.0,168.0,301.0,623.0,750.0,71.0,105.0,176.0,574.0,174.0,62.0,63.0,125.0,49.0,63.0,24.0,24.0,48.0,15.0,240.0,8.0,8.0,232.0,2009
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,1950.0,209.0,80.0,289.0,1661.0,1041.0,138.0,0.0,138.0,903.0,909.0,71.0,80.0,151.0,758.0,305.0,25.0,29.0,54.0,251.0,162.0,60.0,60.0,102.0,2009
FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,2442.0,837.0,1182.0,2019.0,423.0,1902.0,628.0,858.0,1486.0,416.0,540.0,209.0,324.0,533.0,7.0,150.0,50.0,98.0,148.0,2.0,756.0,526.0,526.0,230.0,2009
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered and Unsheltered Count,1030.0,102.0,310.0,412.0,618.0,685.0,69.0,189.0,258.0,427.0,345.0,33.0,121.0,154.0,191.0,148.0,11.0,30.0,41.0,107.0,221.0,98.0,98.0,123.0,2009
FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,1237.0,60.0,46.0,106.0,1131.0,1099.0,32.0,4.0,36.0,1063.0,138.0,28.0,42.0,70.0,68.0,50.0,14.0,19.0,33.0,17.0,56.0,0.0,0.0,56.0,2009
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Sheltered and Unsheltered Count,1221.0,24.0,978.0,1002.0,219.0,881.0,16.0,655.0,671.0,210.0,340.0,8.0,323.0,331.0,9.0,109.0,2.0,104.0,106.0,3.0,112.0,81.0,81.0,31.0,2009
FL-514,Ocala/Marion County CoC,Sheltered and Unsheltered Count,491.0,173.0,124.0,297.0,194.0,318.0,140.0,80.0,220.0,98.0,173.0,33.0,44.0,77.0,96.0,47.0,9.0,14.0,23.0,24.0,117.0,117.0,117.0,0.0,2009
FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,287.0,113.0,136.0,249.0,38.0,225.0,83.0,104.0,187.0,38.0,62.0,30.0,32.0,62.0,0.0,20.0,9.0,11.0,20.0,0.0,33.0,16.0,16.0,17.0,2009
FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered and Unsheltered Count,4220.0,16.0,85.0,101.0,4119.0,812.0,16.0,47.0,63.0,749.0,3408.0,0.0,38.0,38.0,3370.0,1619.0,2.0,12.0,14.0,1605.0,329.0,12.0,12.0,317.0,2009
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered and Unsheltered Count,1114.0,114.0,51.0,165.0,949.0,724.0,42.0,43.0,85.0,639.0,390.0,72.0,8.0,80.0,310.0,159.0,32.0,3.0,35.0,124.0,298.0,76.0,76.0,222.0,2009
FL-519,Pasco County CoC,Sheltered and Unsheltered Count,4527.0,1674.0,0.0,1674.0,2853.0,1312.0,549.0,0.0,549.0,763.0,3215.0,1125.0,0.0,1125.0,2090.0,1286.0,450.0,0.0,450.0,836.0,995.0,378.0,378.0,617.0,2009
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered and Unsheltered Count,1025.0,82.0,154.0,236.0,789.0,571.0,57.0,135.0,192.0,379.0,454.0,25.0,19.0,44.0,410.0,132.0,7.0,8.0,15.0,117.0,28.0,19.0,19.0,9.0,2009
FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,4333.0,1597.0,1742.0,3339.0,994.0,3023.0,1052.0,977.0,2029.0,994.0,1310.0,545.0,765.0,1310.0,0.0,338.0,144.0,194.0,338.0,0.0,600.0,354.0,354.0,246.0,2009
FL-601,Ft Lauderdale/Broward County CoC,Sheltered and Unsheltered Count,3225.0,884.0,1541.0,2425.0,800.0,2575.0,658.0,1181.0,1839.0,736.0,650.0,226.0,360.0,586.0,64.0,206.0,61.0,128.0,189.0,17.0,377.0,171.0,171.0,206.0,2009
FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,541.0,77.0,317.0,394.0,147.0,437.0,43.0,252.0,295.0,142.0,104.0,34.0,65.0,99.0,5.0,54.0,15.0,37.0,52.0,2.0,163.0,53.0,53.0,110.0,2009
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,931.0,205.0,310.0,515.0,416.0,824.0,163.0,281.0,444.0,380.0,107.0,42.0,29.0,71.0,36.0,38.0,12.0,11.0,23.0,15.0,177.0,16.0,16.0,161.0,2009
FL-604,Monroe County CoC,Sheltered and Unsheltered Count,1040.0,186.0,138.0,324.0,716.0,838.0,136.0,90.0,226.0,612.0,202.0,50.0,48.0,98.0,104.0,81.0,15.0,14.0,29.0,52.0,289.0,164.0,164.0,125.0,2009
FL-605,West Palm Beach/Palm Beach County CoC,Sheltered and Unsheltered Count,2147.0,445.0,295.0,740.0,1407.0,1682.0,209.0,224.0,433.0,1249.0,465.0,236.0,71.0,307.0,158.0,138.0,69.0,20.0,89.0,49.0,417.0,79.0,79.0,338.0,2009
FL-606,Naples/Collier County CoC,Sheltered and Unsheltered Count,329.0,192.0,64.0,256.0,73.0,233.0,136.0,24.0,160.0,73.0,96.0,56.0,40.0,96.0,0.0,30.0,18.0,12.0,30.0,0.0,11.0,3.0,3.0,8.0,2009
GA-500,Atlanta CoC,Sheltered and Unsheltered Count,7019.0,2357.0,2498.0,4855.0,2164.0,5781.0,1998.0,1715.0,3713.0,2068.0,1238.0,359.0,783.0,1142.0,96.0,492.0,126.0,333.0,459.0,33.0,1649.0,947.0,947.0,702.0,2009
