Year,CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2010,AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,3643.0,631.0,1293.0,15.0,1939.0,1704.0,2709.0,460.0,589.0,15.0,1064.0,1645.0,934.0,171.0,704.0,875.0,59.0,295.0,56.0,217.0,273.0,22.0,0.0,627.0,162.0,0.0,162.0,465.0
2010,AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered and Unsheltered Count,6999.0,2294.0,1951.0,25.0,4270.0,2729.0,4432.0,1257.0,563.0,25.0,1845.0,2587.0,2567.0,1037.0,1388.0,2425.0,142.0,789.0,302.0,440.0,742.0,47.0,25.0,913.0,273.0,25.0,298.0,615.0
2010,CA-500,San Jose/Santa Clara City & County CoC,No 2010 PIT Count,7086.0,1078.0,1025.0,0.0,2103.0,4983.0,6078.0,840.0,321.0,0.0,1161.0,4917.0,1008.0,238.0,704.0,942.0,66.0,285.0,77.0,187.0,264.0,21.0,0.0,2270.0,195.0,0.0,195.0,2075.0
2010,CA-501,San Francisco CoC,No 2010 PIT Count,5823.0,2056.0,825.0,0.0,2881.0,2942.0,5309.0,1746.0,646.0,0.0,2392.0,2917.0,514.0,310.0,179.0,489.0,25.0,178.0,106.0,62.0,168.0,10.0,0.0,2816.0,1008.0,0.0,1008.0,1808.0
2010,CA-502,"Oakland, Berkeley/Alameda County CoC",No 2010 PIT Count,4341.0,1104.0,1274.0,0.0,2378.0,1963.0,2771.0,711.0,519.0,0.0,1230.0,1541.0,1570.0,393.0,755.0,1148.0,422.0,484.0,130.0,282.0,412.0,72.0,0.0,1026.0,266.0,0.0,266.0,760.0
2010,CA-503,Sacramento City & County CoC,Sheltered-Only Count,2734.0,701.0,839.0,0.0,1540.0,1194.0,2163.0,489.0,496.0,0.0,985.0,1178.0,571.0,212.0,343.0,555.0,16.0,197.0,73.0,118.0,191.0,6.0,0.0,432.0,155.0,0.0,155.0,277.0
2010,CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered-Only Count,3345.0,591.0,532.0,0.0,1123.0,2222.0,2770.0,369.0,185.0,0.0,554.0,2216.0,575.0,222.0,347.0,569.0,6.0,205.0,77.0,126.0,203.0,2.0,0.0,1025.0,103.0,0.0,103.0,922.0
2010,CA-505,Richmond/Contra Costa County CoC,No 2010 PIT Count,2759.0,509.0,378.0,0.0,887.0,1872.0,2365.0,306.0,197.0,0.0,503.0,1862.0,394.0,203.0,181.0,384.0,10.0,121.0,62.0,54.0,116.0,5.0,0.0,940.0,89.0,0.0,89.0,851.0
2010,CA-506,"Salinas/Monterey, San Benito Counties CoC",No 2010 PIT Count,2407.0,263.0,516.0,0.0,779.0,1628.0,1909.0,212.0,191.0,0.0,403.0,1506.0,498.0,51.0,325.0,376.0,122.0,117.0,13.0,76.0,89.0,28.0,0.0,656.0,159.0,0.0,159.0,497.0
2010,CA-507,Marin County CoC,No 2010 PIT Count,1026.0,261.0,336.0,0.0,597.0,429.0,767.0,211.0,156.0,0.0,367.0,400.0,259.0,50.0,180.0,230.0,29.0,85.0,13.0,62.0,75.0,10.0,0.0,135.0,92.0,0.0,92.0,43.0
2010,CA-508,Watsonville/Santa Cruz City & County CoC,No 2010 PIT Count,2265.0,360.0,369.0,0.0,729.0,1536.0,1815.0,213.0,110.0,0.0,323.0,1492.0,450.0,147.0,259.0,406.0,44.0,145.0,45.0,86.0,131.0,14.0,0.0,842.0,51.0,0.0,51.0,791.0
2010,CA-509,Mendocino County CoC,No 2010 PIT Count,1202.0,135.0,100.0,0.0,235.0,967.0,1071.0,75.0,51.0,0.0,126.0,945.0,131.0,60.0,49.0,109.0,22.0,44.0,21.0,16.0,37.0,7.0,0.0,474.0,34.0,0.0,34.0,440.0
2010,CA-510,"Turlock, Modesto/Stanislaus County CoC",No 2010 PIT Count,1800.0,496.0,305.0,0.0,801.0,999.0,1118.0,311.0,173.0,0.0,484.0,634.0,682.0,185.0,132.0,317.0,365.0,281.0,70.0,46.0,116.0,165.0,0.0,442.0,68.0,0.0,68.0,374.0
2010,CA-511,Stockton/San Joaquin County CoC,No 2010 PIT Count,3005.0,2302.0,538.0,0.0,2840.0,165.0,2122.0,1817.0,140.0,0.0,1957.0,165.0,883.0,485.0,398.0,883.0,0.0,281.0,161.0,120.0,281.0,0.0,0.0,377.0,278.0,0.0,278.0,99.0
2010,CA-512,Daly/San Mateo County CoC,Sheltered-Only Count,1424.0,127.0,494.0,0.0,621.0,803.0,1013.0,74.0,211.0,0.0,285.0,728.0,411.0,53.0,283.0,336.0,75.0,120.0,18.0,82.0,100.0,20.0,0.0,455.0,29.0,0.0,29.0,426.0
2010,CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,966.0,162.0,244.0,0.0,406.0,560.0,606.0,82.0,164.0,0.0,246.0,360.0,360.0,80.0,80.0,160.0,200.0,108.0,29.0,20.0,49.0,59.0,0.0,132.0,24.0,0.0,24.0,108.0
2010,CA-514,Fresno City & County/Madera County CoC,Sheltered-Only Count,4288.0,1060.0,749.0,22.0,1831.0,2457.0,3294.0,700.0,307.0,22.0,1029.0,2265.0,994.0,360.0,442.0,802.0,192.0,313.0,87.0,149.0,236.0,77.0,22.0,879.0,223.0,22.0,245.0,634.0
2010,CA-515,"Roseville, Rocklin/Placer County CoC",No 2010 PIT Count,1054.0,189.0,383.0,0.0,572.0,482.0,700.0,132.0,175.0,0.0,307.0,393.0,354.0,57.0,208.0,265.0,89.0,118.0,21.0,70.0,91.0,27.0,0.0,231.0,62.0,0.0,62.0,169.0
2010,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,336.0,152.0,63.0,0.0,215.0,121.0,243.0,125.0,27.0,0.0,152.0,91.0,93.0,27.0,36.0,63.0,30.0,32.0,10.0,12.0,22.0,10.0,0.0,53.0,26.0,0.0,26.0,27.0
2010,CA-517,Napa City & County CoC,No 2010 PIT Count,314.0,121.0,65.0,0.0,186.0,128.0,261.0,81.0,52.0,0.0,133.0,128.0,53.0,40.0,13.0,53.0,0.0,16.0,11.0,5.0,16.0,0.0,0.0,132.0,61.0,0.0,61.0,71.0
2010,CA-518,Vallejo/Solano County CoC,No 2010 PIT Count,829.0,198.0,205.0,0.0,403.0,426.0,468.0,73.0,124.0,0.0,197.0,271.0,361.0,125.0,81.0,206.0,155.0,147.0,51.0,36.0,87.0,60.0,0.0,105.0,48.0,0.0,48.0,57.0
2010,CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,742.0,150.0,197.0,0.0,347.0,395.0,615.0,134.0,114.0,0.0,248.0,367.0,127.0,16.0,83.0,99.0,28.0,47.0,6.0,32.0,38.0,9.0,0.0,186.0,31.0,0.0,31.0,155.0
2010,CA-520,Merced City & County CoC,No 2010 PIT Count,372.0,83.0,65.0,0.0,148.0,224.0,344.0,58.0,62.0,0.0,120.0,224.0,28.0,25.0,3.0,28.0,0.0,10.0,9.0,1.0,10.0,0.0,0.0,51.0,21.0,0.0,21.0,30.0
2010,CA-521,"Davis, Woodland/Yolo County CoC",No 2010 PIT Count,491.0,82.0,120.0,0.0,202.0,289.0,365.0,63.0,29.0,0.0,92.0,273.0,126.0,19.0,91.0,110.0,16.0,41.0,7.0,27.0,34.0,7.0,0.0,150.0,27.0,0.0,27.0,123.0
2010,CA-522,Humboldt County CoC,No 2010 PIT Count,1355.0,224.0,131.0,0.0,355.0,1000.0,889.0,153.0,57.0,0.0,210.0,679.0,466.0,71.0,74.0,145.0,321.0,138.0,26.0,26.0,52.0,86.0,0.0,427.0,40.0,0.0,40.0,387.0
2010,CA-523,"Colusa, Glenn, Trinity Counties CoC",No 2010 PIT Count,197.0,29.0,45.0,0.0,74.0,123.0,145.0,19.0,18.0,0.0,37.0,108.0,52.0,10.0,27.0,37.0,15.0,18.0,4.0,9.0,13.0,5.0,0.0,40.0,0.0,0.0,0.0,40.0
2010,CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,512.0,209.0,178.0,0.0,387.0,125.0,276.0,60.0,111.0,0.0,171.0,105.0,236.0,149.0,67.0,216.0,20.0,72.0,45.0,20.0,65.0,7.0,0.0,41.0,13.0,0.0,13.0,28.0
2010,CA-525,El Dorado County CoC,No 2010 PIT Count,146.0,14.0,49.0,0.0,63.0,83.0,98.0,1.0,22.0,0.0,23.0,75.0,48.0,13.0,27.0,40.0,8.0,15.0,4.0,8.0,12.0,3.0,0.0,15.0,0.0,0.0,0.0,15.0
2010,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered-Only Count,289.0,49.0,18.0,0.0,67.0,222.0,170.0,24.0,1.0,0.0,25.0,145.0,119.0,25.0,17.0,42.0,77.0,36.0,9.0,5.0,14.0,22.0,0.0,85.0,10.0,0.0,10.0,75.0
2010,CA-528,Del Norte County CoC,Sheltered-Only Count,18.0,18.0,0.0,0.0,18.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,14.0,14.0,0.0,14.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,CA-600,Los Angeles City & County CoC,No 2010 PIT Count,33243.0,5793.0,8257.0,0.0,14050.0,19193.0,28358.0,4513.0,5663.0,0.0,10176.0,18182.0,4885.0,1280.0,2594.0,3874.0,1011.0,1840.0,432.0,933.0,1365.0,475.0,0.0,7661.0,2414.0,0.0,2414.0,5247.0
2010,CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,8383.0,965.0,2900.0,53.0,3918.0,4465.0,6551.0,737.0,1836.0,53.0,2626.0,3925.0,1832.0,228.0,1064.0,1292.0,540.0,688.0,85.0,366.0,451.0,237.0,45.0,1271.0,354.0,45.0,399.0,872.0
2010,CA-602,"Santa Ana, Anaheim/Orange County CoC",No 2010 PIT Count,8333.0,962.0,1647.0,0.0,2609.0,5724.0,6956.0,774.0,539.0,0.0,1313.0,5643.0,1377.0,188.0,1108.0,1296.0,81.0,481.0,70.0,384.0,454.0,27.0,0.0,3783.0,205.0,0.0,205.0,3578.0
2010,CA-603,Santa Maria/Santa Barbara County CoC,No 2010 PIT Count,4121.0,401.0,747.0,0.0,1148.0,2973.0,3333.0,301.0,445.0,0.0,746.0,2587.0,788.0,100.0,302.0,402.0,386.0,262.0,36.0,99.0,135.0,127.0,0.0,483.0,236.0,0.0,236.0,247.0
2010,CA-604,Bakersfield/Kern County CoC,No 2010 PIT Count,1499.0,380.0,287.0,0.0,667.0,832.0,1251.0,204.0,260.0,0.0,464.0,787.0,248.0,176.0,27.0,203.0,45.0,78.0,53.0,7.0,60.0,18.0,0.0,258.0,39.0,0.0,39.0,219.0
2010,CA-606,Long Beach CoC,No 2010 PIT Count,3909.0,542.0,1612.0,0.0,2154.0,1755.0,3200.0,412.0,1248.0,0.0,1660.0,1540.0,709.0,130.0,364.0,494.0,215.0,224.0,43.0,113.0,156.0,68.0,0.0,789.0,115.0,0.0,115.0,674.0
2010,CA-607,Pasadena CoC,Sheltered and Unsheltered Count,1137.0,358.0,133.0,0.0,491.0,646.0,875.0,266.0,60.0,0.0,326.0,549.0,262.0,92.0,73.0,165.0,97.0,91.0,33.0,23.0,56.0,35.0,0.0,383.0,112.0,0.0,112.0,271.0
2010,CA-608,Riverside City & County CoC,Sheltered-Only Count,3126.0,567.0,516.0,0.0,1083.0,2043.0,1618.0,140.0,133.0,0.0,273.0,1345.0,1508.0,427.0,383.0,810.0,698.0,393.0,142.0,128.0,270.0,123.0,0.0,721.0,26.0,0.0,26.0,695.0
2010,CA-609,San Bernardino City & County CoC,No 2010 PIT Count,2026.0,315.0,453.0,0.0,768.0,1258.0,1397.0,126.0,181.0,0.0,307.0,1090.0,629.0,189.0,272.0,461.0,168.0,221.0,79.0,97.0,176.0,45.0,0.0,361.0,70.0,0.0,70.0,291.0
2010,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,1815.0,274.0,242.0,8.0,524.0,1291.0,1419.0,226.0,118.0,8.0,352.0,1067.0,396.0,48.0,124.0,172.0,224.0,124.0,19.0,35.0,54.0,70.0,0.0,787.0,155.0,0.0,155.0,632.0
2010,CA-612,Glendale CoC,Sheltered and Unsheltered Count,428.0,157.0,143.0,0.0,300.0,128.0,286.0,109.0,57.0,0.0,166.0,120.0,142.0,48.0,86.0,134.0,8.0,43.0,12.0,27.0,39.0,4.0,0.0,108.0,39.0,0.0,39.0,69.0
2010,CA-613,Imperial County CoC,No 2010 PIT Count,505.0,91.0,66.0,0.0,157.0,348.0,400.0,52.0,0.0,0.0,52.0,348.0,105.0,39.0,66.0,105.0,0.0,33.0,12.0,21.0,33.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0
2010,CA-614,San Luis Obispo County CoC,No 2010 PIT Count,3829.0,173.0,69.0,0.0,242.0,3587.0,1547.0,49.0,28.0,0.0,77.0,1470.0,2282.0,124.0,41.0,165.0,2117.0,673.0,28.0,10.0,38.0,635.0,0.0,201.0,7.0,0.0,7.0,194.0
2010,CO-500,Colorado Balance of State CoC,No 2010 PIT Count,5267.0,679.0,408.0,0.0,1087.0,4180.0,1324.0,221.0,58.0,0.0,279.0,1045.0,3943.0,458.0,350.0,808.0,3135.0,986.0,114.0,88.0,202.0,784.0,0.0,259.0,11.0,0.0,11.0,248.0
2010,CO-503,Metropolitan Denver CoC,No 2010 PIT Count,8752.0,3794.0,3259.0,0.0,7053.0,1699.0,5081.0,2490.0,1163.0,0.0,3653.0,1428.0,3671.0,1304.0,2096.0,3400.0,271.0,1156.0,411.0,660.0,1071.0,85.0,0.0,839.0,404.0,0.0,404.0,435.0
2010,CO-504,Colorado Springs/El Paso County CoC,Sheltered and Unsheltered Count,1463.0,422.0,469.0,0.0,891.0,572.0,1169.0,372.0,272.0,0.0,644.0,525.0,294.0,50.0,197.0,247.0,47.0,92.0,16.0,64.0,80.0,12.0,0.0,334.0,95.0,0.0,95.0,239.0
2010,CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Sheltered-Only Count,944.0,511.0,328.0,0.0,839.0,105.0,653.0,367.0,190.0,0.0,557.0,96.0,291.0,144.0,138.0,282.0,9.0,94.0,46.0,44.0,90.0,4.0,0.0,200.0,154.0,0.0,154.0,46.0
2010,CT-505,Connecticut Balance of State CoC,Sheltered-Only Count,3372.0,1803.0,1175.0,0.0,2978.0,394.0,2340.0,1268.0,686.0,0.0,1954.0,386.0,1032.0,535.0,489.0,1024.0,8.0,353.0,179.0,171.0,350.0,3.0,0.0,577.0,441.0,0.0,441.0,136.0
2010,DC-500,District of Columbia CoC,Sheltered and Unsheltered Count,6539.0,3584.0,2512.0,13.0,6109.0,430.0,4016.0,2593.0,980.0,13.0,3586.0,430.0,2523.0,991.0,1532.0,2523.0,0.0,800.0,318.0,482.0,800.0,0.0,13.0,2110.0,1710.0,13.0,1723.0,387.0
2010,DE-500,Delaware Statewide CoC,Sheltered and Unsheltered Count,982.0,481.0,439.0,10.0,930.0,52.0,681.0,358.0,261.0,10.0,629.0,52.0,301.0,123.0,178.0,301.0,0.0,111.0,50.0,61.0,111.0,0.0,7.0,97.0,64.0,7.0,71.0,26.0
2010,FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",No 2010 PIT Count,1999.0,181.0,167.0,0.0,348.0,1651.0,1201.0,97.0,96.0,0.0,193.0,1008.0,798.0,84.0,71.0,155.0,643.0,231.0,26.0,29.0,55.0,176.0,0.0,125.0,27.0,0.0,27.0,98.0
2010,FL-501,Tampa/Hillsborough County CoC,No 2010 PIT Count,7473.0,321.0,405.0,0.0,726.0,6747.0,4107.0,236.0,262.0,0.0,498.0,3609.0,3366.0,85.0,143.0,228.0,3138.0,1201.0,30.0,50.0,80.0,1121.0,0.0,598.0,210.0,0.0,210.0,388.0
2010,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,3948.0,889.0,857.0,45.0,1791.0,2157.0,3463.0,730.0,577.0,45.0,1352.0,2111.0,485.0,159.0,280.0,439.0,46.0,188.0,69.0,100.0,169.0,19.0,45.0,577.0,163.0,45.0,208.0,369.0
2010,FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,820.0,197.0,246.0,0.0,443.0,377.0,694.0,161.0,194.0,0.0,355.0,339.0,126.0,36.0,52.0,88.0,38.0,37.0,10.0,16.0,26.0,11.0,0.0,83.0,35.0,0.0,35.0,48.0
2010,FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,2155.0,100.0,603.0,0.0,703.0,1452.0,1677.0,61.0,164.0,0.0,225.0,1452.0,478.0,39.0,439.0,478.0,0.0,151.0,11.0,140.0,151.0,0.0,0.0,173.0,0.0,0.0,0.0,173.0
2010,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2262.0,273.0,198.0,0.0,471.0,1791.0,1248.0,205.0,170.0,0.0,375.0,873.0,1014.0,68.0,28.0,96.0,918.0,334.0,32.0,10.0,42.0,292.0,0.0,251.0,178.0,0.0,178.0,73.0
2010,FL-506,Tallahassee/Leon County CoC,No 2010 PIT Count,640.0,276.0,260.0,0.0,536.0,104.0,475.0,219.0,179.0,0.0,398.0,77.0,165.0,57.0,81.0,138.0,27.0,48.0,15.0,25.0,40.0,8.0,0.0,150.0,100.0,0.0,100.0,50.0
2010,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,4041.0,949.0,1096.0,20.0,2065.0,1976.0,2696.0,504.0,575.0,20.0,1099.0,1597.0,1345.0,445.0,521.0,966.0,379.0,447.0,148.0,173.0,321.0,126.0,20.0,1614.0,352.0,20.0,372.0,1242.0
2010,FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,1019.0,141.0,156.0,0.0,297.0,722.0,774.0,83.0,111.0,0.0,194.0,580.0,245.0,58.0,45.0,103.0,142.0,111.0,23.0,17.0,40.0,71.0,0.0,218.0,0.0,0.0,0.0,218.0
2010,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,2160.0,120.0,66.0,0.0,186.0,1974.0,1101.0,30.0,0.0,0.0,30.0,1071.0,1059.0,90.0,66.0,156.0,903.0,384.0,26.0,21.0,47.0,337.0,0.0,179.0,53.0,0.0,53.0,126.0
2010,FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,3241.0,803.0,1266.0,0.0,2069.0,1172.0,2345.0,496.0,677.0,0.0,1173.0,1172.0,896.0,307.0,589.0,896.0,0.0,237.0,92.0,145.0,237.0,0.0,0.0,998.0,803.0,0.0,803.0,195.0
2010,FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered-Only Count,1160.0,150.0,392.0,0.0,542.0,618.0,755.0,79.0,249.0,0.0,328.0,427.0,405.0,71.0,143.0,214.0,191.0,175.0,27.0,41.0,68.0,107.0,0.0,282.0,159.0,0.0,159.0,123.0
2010,FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,1252.0,138.0,63.0,0.0,201.0,1051.0,1092.0,109.0,0.0,0.0,109.0,983.0,160.0,29.0,63.0,92.0,68.0,50.0,6.0,30.0,36.0,14.0,0.0,56.0,0.0,0.0,0.0,56.0
2010,FL-513,"Palm Bay, Melbourne/Brevard County CoC",No 2010 PIT Count,1221.0,24.0,978.0,0.0,1002.0,219.0,881.0,16.0,655.0,0.0,671.0,210.0,340.0,8.0,323.0,331.0,9.0,109.0,2.0,104.0,106.0,3.0,0.0,112.0,81.0,0.0,81.0,31.0
2010,FL-514,Ocala/Marion County CoC,Sheltered-Only Count,576.0,190.0,192.0,0.0,382.0,194.0,273.0,47.0,128.0,0.0,175.0,98.0,303.0,143.0,64.0,207.0,96.0,125.0,69.0,32.0,101.0,24.0,0.0,97.0,97.0,0.0,97.0,0.0
2010,FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,326.0,80.0,144.0,0.0,224.0,102.0,207.0,56.0,79.0,0.0,135.0,72.0,119.0,24.0,65.0,89.0,30.0,40.0,9.0,23.0,32.0,8.0,0.0,94.0,52.0,0.0,52.0,42.0
2010,FL-517,"Hendry, Hardee, Highlands Counties CoC",No 2010 PIT Count,4220.0,16.0,85.0,0.0,101.0,4119.0,812.0,16.0,47.0,0.0,63.0,749.0,3408.0,0.0,38.0,38.0,3370.0,1619.0,2.0,12.0,14.0,1605.0,0.0,329.0,12.0,0.0,12.0,317.0
2010,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",No 2010 PIT Count,1114.0,114.0,51.0,0.0,165.0,949.0,724.0,42.0,43.0,0.0,85.0,639.0,390.0,72.0,8.0,80.0,310.0,159.0,32.0,3.0,35.0,124.0,0.0,298.0,76.0,0.0,76.0,222.0
2010,FL-519,Pasco County CoC,No 2010 PIT Count,4527.0,1674.0,0.0,0.0,1674.0,2853.0,1312.0,549.0,0.0,0.0,549.0,763.0,3215.0,1125.0,0.0,1125.0,2090.0,1286.0,450.0,0.0,450.0,836.0,0.0,995.0,378.0,0.0,378.0,617.0
