CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
AR-500,Little Rock/Central Arkansas CoC,Sheltered and Unsheltered Count,1276.0,409.0,380.0,0.0,789.0,487.0,1094.0,23.0,321.0,13.0,286.0,10.0,0.0,607.0,23.0,487.0,0.0,182.0,88.0,94.0,182.0,0.0,63.0,30.0,33.0,63.0,0.0,202.0,155.0,0.0,155.0,47.0,202.0,155.0,0.0,155.0,47.0,0.0,0.0,0.0,0.0,303.0,193.0,110.0,2011.0
AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered and Unsheltered Count,238.0,83.0,116.0,0.0,199.0,39.0,128.0,0.0,55.0,0.0,42.0,0.0,0.0,97.0,0.0,31.0,0.0,110.0,28.0,74.0,102.0,8.0,43.0,13.0,27.0,40.0,3.0,102.0,66.0,0.0,66.0,36.0,51.0,33.0,0.0,33.0,18.0,51.0,33.0,33.0,18.0,39.0,33.0,6.0,2011.0
AR-503,Arkansas Balance of State CoC,Sheltered and Unsheltered Count,1816.0,472.0,248.0,0.0,720.0,1096.0,1228.0,135.0,347.0,65.0,214.0,62.0,0.0,561.0,127.0,667.0,8.0,588.0,125.0,34.0,159.0,429.0,226.0,56.0,11.0,67.0,159.0,303.0,107.0,0.0,107.0,196.0,247.0,79.0,0.0,79.0,168.0,56.0,28.0,28.0,28.0,69.0,42.0,27.0,2011.0
AR-505,Southeast Arkansas CoC,Sheltered and Unsheltered Count,94.0,54.0,40.0,0.0,94.0,0.0,55.0,0.0,39.0,0.0,16.0,0.0,0.0,55.0,0.0,0.0,0.0,39.0,15.0,24.0,39.0,0.0,17.0,5.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0
AZ-500,Arizona Balance of State CoC,Sheltered and Unsheltered Count,2047.0,790.0,528.0,0.0,1318.0,729.0,1027.0,11.0,482.0,6.0,249.0,4.0,0.0,731.0,10.0,296.0,1.0,1020.0,308.0,279.0,587.0,433.0,285.0,99.0,84.0,183.0,102.0,466.0,199.0,0.0,199.0,267.0,386.0,165.0,0.0,165.0,221.0,80.0,34.0,34.0,46.0,320.0,207.0,113.0,2011.0
AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,2626.0,726.0,1161.0,15.0,1902.0,724.0,1783.0,26.0,555.0,5.0,531.0,3.0,15.0,1101.0,8.0,682.0,18.0,843.0,171.0,630.0,801.0,42.0,271.0,57.0,199.0,256.0,15.0,725.0,511.0,15.0,526.0,199.0,461.0,255.0,15.0,270.0,191.0,264.0,256.0,256.0,8.0,454.0,304.0,150.0,2011.0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered and Unsheltered Count,5831.0,2055.0,2002.0,25.0,4082.0,1749.0,3593.0,80.0,1208.0,9.0,619.0,8.0,25.0,1852.0,17.0,1741.0,63.0,2238.0,847.0,1383.0,2230.0,8.0,683.0,250.0,430.0,680.0,3.0,1092.0,278.0,25.0,303.0,789.0,1092.0,278.0,25.0,303.0,789.0,0.0,0.0,0.0,0.0,754.0,507.0,247.0,2011.0
CA-500,San Jose/Santa Clara City & County CoC,Sheltered and Unsheltered Count,7067.0,962.0,926.0,10.0,1898.0,5169.0,6450.0,210.0,820.0,30.0,507.0,35.0,10.0,1337.0,65.0,5113.0,145.0,617.0,142.0,419.0,561.0,56.0,232.0,59.0,155.0,214.0,18.0,2555.0,225.0,0.0,225.0,2330.0,2520.0,225.0,0.0,225.0,2295.0,35.0,0.0,0.0,35.0,667.0,152.0,515.0,2011.0
CA-501,San Francisco CoC,Sheltered and Unsheltered Count,5669.0,1677.0,595.0,26.0,2298.0,3371.0,5034.0,38.0,1392.0,13.0,340.0,0.0,26.0,1758.0,13.0,3276.0,25.0,635.0,285.0,255.0,540.0,95.0,233.0,101.0,92.0,193.0,40.0,1738.0,611.0,17.0,628.0,1110.0,1738.0,611.0,17.0,628.0,1110.0,0.0,0.0,0.0,0.0,919.0,489.0,430.0,2011.0
CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered and Unsheltered Count,4178.0,852.0,1114.0,0.0,1966.0,2212.0,3042.0,3.0,559.0,3.0,411.0,0.0,0.0,970.0,3.0,2072.0,0.0,1136.0,293.0,703.0,996.0,140.0,376.0,108.0,244.0,352.0,24.0,1214.0,230.0,0.0,230.0,984.0,1116.0,174.0,0.0,174.0,942.0,98.0,56.0,56.0,42.0,488.0,143.0,345.0,2011.0
CA-503,Sacramento City & County CoC,Sheltered and Unsheltered Count,2376.0,584.0,837.0,0.0,1421.0,955.0,1772.0,27.0,294.0,7.0,528.0,0.0,0.0,822.0,7.0,950.0,20.0,604.0,290.0,309.0,599.0,5.0,203.0,97.0,104.0,201.0,2.0,353.0,111.0,0.0,111.0,242.0,353.0,111.0,0.0,111.0,242.0,0.0,0.0,0.0,0.0,297.0,116.0,181.0,2011.0
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,4541.0,539.0,636.0,0.0,1175.0,3366.0,3974.0,264.0,386.0,2.0,262.0,2.0,0.0,648.0,4.0,3326.0,260.0,567.0,153.0,374.0,527.0,40.0,190.0,55.0,123.0,178.0,12.0,1018.0,63.0,0.0,63.0,955.0,1015.0,61.0,0.0,61.0,954.0,3.0,2.0,2.0,1.0,404.0,77.0,327.0,2011.0
CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2415.0,558.0,367.0,0.0,925.0,1490.0,1948.0,1.0,365.0,1.0,96.0,0.0,0.0,461.0,1.0,1487.0,0.0,467.0,193.0,271.0,464.0,3.0,154.0,66.0,87.0,153.0,1.0,743.0,210.0,0.0,210.0,533.0,719.0,191.0,0.0,191.0,528.0,24.0,19.0,19.0,5.0,77.0,69.0,8.0,2011.0
CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered and Unsheltered Count,2699.0,204.0,584.0,0.0,788.0,1911.0,2115.0,107.0,148.0,0.0,210.0,10.0,0.0,358.0,10.0,1757.0,97.0,584.0,56.0,374.0,430.0,154.0,153.0,19.0,103.0,122.0,31.0,831.0,52.0,0.0,52.0,779.0,792.0,41.0,0.0,41.0,751.0,39.0,11.0,11.0,28.0,296.0,52.0,244.0,2011.0
CA-507,Marin County CoC,Sheltered and Unsheltered Count,862.0,221.0,288.0,0.0,509.0,353.0,626.0,1.0,183.0,0.0,96.0,0.0,0.0,279.0,0.0,347.0,1.0,236.0,38.0,192.0,230.0,6.0,86.0,14.0,70.0,84.0,2.0,224.0,86.0,0.0,86.0,138.0,224.0,86.0,0.0,86.0,138.0,0.0,0.0,0.0,0.0,68.0,32.0,36.0,2011.0
CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered and Unsheltered Count,2771.0,378.0,268.0,0.0,646.0,2125.0,2397.0,88.0,255.0,10.0,77.0,6.0,0.0,332.0,16.0,2065.0,72.0,374.0,123.0,191.0,314.0,60.0,115.0,45.0,55.0,100.0,15.0,1005.0,58.0,0.0,58.0,947.0,979.0,48.0,0.0,48.0,931.0,26.0,10.0,10.0,16.0,276.0,31.0,245.0,2011.0
CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,1456.0,100.0,42.0,0.0,142.0,1314.0,1352.0,13.0,76.0,0.0,22.0,0.0,0.0,98.0,0.0,1254.0,13.0,104.0,24.0,20.0,44.0,60.0,35.0,8.0,7.0,15.0,20.0,370.0,58.0,0.0,58.0,312.0,300.0,40.0,0.0,40.0,260.0,70.0,18.0,18.0,52.0,92.0,18.0,74.0,2011.0
CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,1434.0,351.0,292.0,0.0,643.0,791.0,987.0,6.0,257.0,6.0,131.0,0.0,0.0,388.0,6.0,599.0,0.0,447.0,94.0,161.0,255.0,192.0,130.0,31.0,50.0,81.0,49.0,236.0,96.0,0.0,96.0,140.0,218.0,96.0,0.0,96.0,122.0,18.0,0.0,0.0,18.0,73.0,43.0,30.0,2011.0
CA-511,Stockton/San Joaquin County CoC,Sheltered and Unsheltered Count,2540.0,1711.0,582.0,0.0,2293.0,247.0,1538.0,5.0,1205.0,4.0,111.0,0.0,0.0,1316.0,4.0,222.0,1.0,1002.0,506.0,471.0,977.0,25.0,313.0,160.0,146.0,306.0,7.0,323.0,212.0,0.0,212.0,111.0,286.0,192.0,0.0,192.0,94.0,37.0,20.0,20.0,17.0,112.0,92.0,20.0,2011.0
CA-512,Daly/San Mateo County CoC,Sheltered and Unsheltered Count,1926.0,162.0,602.0,0.0,764.0,1162.0,1425.0,9.0,94.0,7.0,302.0,0.0,0.0,396.0,7.0,1029.0,2.0,501.0,68.0,300.0,368.0,133.0,148.0,21.0,90.0,111.0,37.0,486.0,10.0,0.0,10.0,476.0,486.0,10.0,0.0,10.0,476.0,0.0,0.0,0.0,0.0,324.0,177.0,147.0,2011.0
CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,804.0,128.0,329.0,0.0,457.0,347.0,640.0,2.0,89.0,0.0,243.0,0.0,0.0,332.0,0.0,308.0,2.0,164.0,39.0,86.0,125.0,39.0,59.0,15.0,27.0,42.0,17.0,134.0,50.0,0.0,50.0,84.0,67.0,25.0,0.0,25.0,42.0,67.0,25.0,25.0,42.0,36.0,3.0,33.0,2011.0
CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,5135.0,773.0,516.0,24.0,1313.0,3822.0,3710.0,25.0,190.0,9.0,272.0,8.0,24.0,486.0,17.0,3224.0,8.0,1425.0,583.0,244.0,827.0,598.0,580.0,247.0,80.0,327.0,253.0,836.0,32.0,17.0,49.0,787.0,654.0,23.0,17.0,40.0,614.0,182.0,9.0,9.0,173.0,619.0,77.0,542.0,2011.0
CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered and Unsheltered Count,821.0,165.0,301.0,0.0,466.0,355.0,544.0,0.0,118.0,0.0,109.0,0.0,0.0,227.0,0.0,317.0,0.0,277.0,47.0,192.0,239.0,38.0,87.0,16.0,58.0,74.0,13.0,149.0,27.0,0.0,27.0,122.0,101.0,25.0,0.0,25.0,76.0,48.0,2.0,2.0,46.0,74.0,37.0,37.0,2011.0
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,527.0,182.0,174.0,0.0,356.0,171.0,403.0,58.0,142.0,25.0,113.0,31.0,0.0,255.0,56.0,148.0,2.0,124.0,40.0,61.0,101.0,23.0,35.0,12.0,13.0,25.0,10.0,93.0,38.0,0.0,38.0,55.0,62.0,26.0,0.0,26.0,36.0,31.0,12.0,12.0,19.0,46.0,38.0,8.0,2011.0
CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,230.0,95.0,43.0,0.0,138.0,92.0,171.0,0.0,62.0,0.0,26.0,0.0,0.0,88.0,0.0,83.0,0.0,59.0,33.0,17.0,50.0,9.0,19.0,10.0,5.0,15.0,4.0,52.0,18.0,0.0,18.0,34.0,52.0,18.0,0.0,18.0,34.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,2011.0
CA-518,Vallejo/Solano County CoC,Sheltered and Unsheltered Count,569.0,158.0,176.0,0.0,334.0,235.0,376.0,8.0,60.0,0.0,130.0,8.0,0.0,190.0,8.0,186.0,0.0,193.0,98.0,46.0,144.0,49.0,69.0,36.0,12.0,48.0,21.0,140.0,140.0,0.0,140.0,0.0,122.0,122.0,0.0,122.0,0.0,18.0,18.0,18.0,0.0,41.0,27.0,14.0,2011.0
CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,897.0,178.0,179.0,0.0,357.0,540.0,753.0,8.0,156.0,1.0,84.0,0.0,0.0,240.0,1.0,513.0,7.0,144.0,22.0,95.0,117.0,27.0,45.0,9.0,26.0,35.0,10.0,261.0,24.0,0.0,24.0,237.0,258.0,22.0,0.0,22.0,236.0,3.0,2.0,2.0,1.0,117.0,47.0,70.0,2011.0
CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,486.0,112.0,75.0,0.0,187.0,299.0,460.0,2.0,100.0,0.0,61.0,0.0,0.0,161.0,0.0,299.0,2.0,26.0,12.0,14.0,26.0,0.0,9.0,4.0,5.0,9.0,0.0,265.0,62.0,0.0,62.0,203.0,261.0,58.0,0.0,58.0,203.0,4.0,4.0,4.0,0.0,43.0,9.0,34.0,2011.0
CA-521,"Davis, Woodland/Yolo County CoC",Sheltered and Unsheltered Count,468.0,78.0,127.0,0.0,205.0,263.0,350.0,1.0,59.0,0.0,45.0,0.0,0.0,104.0,0.0,246.0,1.0,118.0,19.0,82.0,101.0,17.0,36.0,6.0,25.0,31.0,5.0,203.0,36.0,0.0,36.0,167.0,187.0,32.0,0.0,32.0,155.0,16.0,4.0,4.0,12.0,50.0,14.0,36.0,2011.0
CA-522,Humboldt County CoC,Sheltered and Unsheltered Count,861.0,260.0,147.0,0.0,407.0,454.0,599.0,10.0,169.0,5.0,29.0,0.0,0.0,198.0,5.0,401.0,5.0,262.0,91.0,118.0,209.0,53.0,105.0,44.0,42.0,86.0,19.0,387.0,234.0,0.0,234.0,153.0,306.0,171.0,0.0,171.0,135.0,81.0,63.0,63.0,18.0,99.0,20.0,79.0,2011.0
CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered and Unsheltered Count,322.0,78.0,105.0,0.0,183.0,139.0,200.0,0.0,53.0,0.0,40.0,0.0,0.0,93.0,0.0,107.0,0.0,122.0,25.0,65.0,90.0,32.0,43.0,7.0,25.0,32.0,11.0,106.0,38.0,0.0,38.0,68.0,94.0,33.0,0.0,33.0,61.0,12.0,5.0,5.0,7.0,28.0,17.0,11.0,2011.0
CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,649.0,182.0,173.0,0.0,355.0,294.0,408.0,0.0,109.0,0.0,90.0,0.0,0.0,199.0,0.0,209.0,0.0,241.0,73.0,83.0,156.0,85.0,70.0,18.0,25.0,43.0,27.0,51.0,19.0,0.0,19.0,32.0,51.0,19.0,0.0,19.0,32.0,0.0,0.0,0.0,0.0,26.0,13.0,13.0,2011.0
CA-525,El Dorado County CoC,Sheltered and Unsheltered Count,170.0,37.0,96.0,0.0,133.0,37.0,107.0,2.0,25.0,2.0,51.0,0.0,0.0,76.0,2.0,31.0,0.0,63.0,12.0,45.0,57.0,6.0,22.0,3.0,16.0,19.0,3.0,19.0,12.0,0.0,12.0,7.0,16.0,9.0,0.0,9.0,7.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,2011.0
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered and Unsheltered Count,406.0,81.0,56.0,0.0,137.0,269.0,189.0,3.0,21.0,0.0,7.0,0.0,0.0,28.0,0.0,161.0,3.0,217.0,60.0,49.0,109.0,108.0,65.0,17.0,13.0,30.0,35.0,102.0,22.0,0.0,22.0,80.0,85.0,13.0,0.0,13.0,72.0,17.0,9.0,9.0,8.0,25.0,7.0,18.0,2011.0
CA-528,Del Norte County CoC,Sheltered and Unsheltered Count,448.0,25.0,2.0,0.0,27.0,421.0,316.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,305.0,0.0,132.0,14.0,2.0,16.0,116.0,38.0,7.0,1.0,8.0,30.0,384.0,0.0,0.0,0.0,384.0,126.0,0.0,0.0,0.0,126.0,258.0,0.0,0.0,258.0,10.0,0.0,10.0,2011.0
CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,34622.0,9855.0,6982.0,45.0,16882.0,17740.0,25404.0,366.0,4795.0,53.0,4788.0,34.0,45.0,9628.0,87.0,15776.0,279.0,9218.0,5060.0,2194.0,7254.0,1964.0,3035.0,1689.0,794.0,2483.0,552.0,9640.0,3083.0,0.0,3083.0,6557.0,7668.0,2357.0,0.0,2357.0,5311.0,1972.0,726.0,726.0,1246.0,6281.0,3243.0,3038.0,2011.0
CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,9436.0,936.0,2990.0,54.0,3980.0,5456.0,7763.0,200.0,728.0,12.0,1721.0,40.0,54.0,2503.0,52.0,5260.0,148.0,1673.0,208.0,1269.0,1477.0,196.0,564.0,70.0,410.0,480.0,84.0,2348.0,139.0,35.0,174.0,2174.0,2278.0,131.0,35.0,166.0,2112.0,70.0,8.0,8.0,62.0,1649.0,756.0,893.0,2011.0
CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered and Unsheltered Count,6939.0,941.0,1726.0,0.0,2667.0,4272.0,5231.0,54.0,462.0,21.0,519.0,20.0,0.0,981.0,41.0,4250.0,13.0,1708.0,479.0,1207.0,1686.0,22.0,574.0,174.0,393.0,567.0,7.0,1670.0,81.0,0.0,81.0,1589.0,1651.0,66.0,0.0,66.0,1585.0,19.0,15.0,15.0,4.0,856.0,96.0,760.0,2011.0
CA-603,Santa Maria/Santa Barbara County CoC,Sheltered and Unsheltered Count,1698.0,401.0,429.0,0.0,830.0,868.0,1377.0,2.0,279.0,0.0,273.0,1.0,0.0,552.0,1.0,825.0,1.0,321.0,122.0,156.0,278.0,43.0,112.0,37.0,61.0,98.0,14.0,558.0,172.0,0.0,172.0,386.0,511.0,141.0,0.0,141.0,370.0,47.0,31.0,31.0,16.0,158.0,70.0,88.0,2011.0
CA-604,Bakersfield/Kern County CoC,Sheltered and Unsheltered Count,1439.0,372.0,234.0,0.0,606.0,833.0,1236.0,1.0,240.0,0.0,207.0,0.0,0.0,447.0,0.0,789.0,1.0,203.0,132.0,27.0,159.0,44.0,69.0,44.0,8.0,52.0,17.0,441.0,48.0,0.0,48.0,393.0,372.0,40.0,0.0,40.0,332.0,69.0,8.0,8.0,61.0,173.0,79.0,94.0,2011.0
CA-606,Long Beach CoC,Sheltered and Unsheltered Count,3164.0,379.0,561.0,21.0,961.0,2203.0,2596.0,0.0,264.0,0.0,375.0,0.0,21.0,660.0,0.0,1936.0,0.0,568.0,115.0,186.0,301.0,267.0,181.0,38.0,57.0,95.0,86.0,1101.0,96.0,21.0,117.0,984.0,1074.0,91.0,21.0,112.0,962.0,27.0,5.0,5.0,22.0,658.0,349.0,309.0,2011.0
CA-607,Pasadena CoC,Sheltered and Unsheltered Count,1216.0,331.0,122.0,0.0,453.0,763.0,1022.0,3.0,236.0,0.0,62.0,0.0,0.0,298.0,0.0,724.0,3.0,194.0,95.0,60.0,155.0,39.0,75.0,37.0,28.0,65.0,10.0,425.0,105.0,0.0,105.0,320.0,421.0,101.0,0.0,101.0,320.0,4.0,4.0,4.0,0.0,89.0,13.0,76.0,2011.0
CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,6203.0,572.0,541.0,0.0,1113.0,5090.0,5655.0,125.0,404.0,16.0,192.0,0.0,0.0,596.0,16.0,5059.0,109.0,548.0,168.0,349.0,517.0,31.0,220.0,78.0,132.0,210.0,10.0,2530.0,79.0,0.0,79.0,2451.0,2515.0,70.0,0.0,70.0,2445.0,15.0,9.0,9.0,6.0,890.0,76.0,814.0,2011.0
CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,2825.0,653.0,480.0,0.0,1133.0,1692.0,1916.0,3.0,293.0,0.0,257.0,0.0,0.0,550.0,0.0,1366.0,3.0,909.0,360.0,223.0,583.0,326.0,189.0,60.0,40.0,100.0,89.0,240.0,60.0,0.0,60.0,180.0,169.0,47.0,0.0,47.0,122.0,71.0,13.0,13.0,58.0,246.0,80.0,166.0,2011.0
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,1810.0,514.0,307.0,9.0,830.0,980.0,1459.0,14.0,487.0,10.0,96.0,0.0,9.0,592.0,10.0,867.0,4.0,351.0,27.0,211.0,238.0,113.0,109.0,10.0,64.0,74.0,35.0,679.0,141.0,9.0,150.0,529.0,503.0,74.0,9.0,83.0,420.0,176.0,67.0,67.0,109.0,140.0,31.0,109.0,2011.0
CA-612,Glendale CoC,Sheltered and Unsheltered Count,412.0,207.0,84.0,0.0,291.0,121.0,297.0,0.0,176.0,0.0,0.0,0.0,0.0,176.0,0.0,121.0,0.0,115.0,31.0,84.0,115.0,0.0,42.0,14.0,28.0,42.0,0.0,107.0,94.0,0.0,94.0,13.0,102.0,89.0,0.0,89.0,13.0,5.0,5.0,5.0,0.0,39.0,20.0,19.0,2011.0
